,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_episodes,total_samples,learning/total_time_s,total_iterations,total_time_s
0,144.67380129765823,1157.3904103812658,1.382420301437378,200,1600,3.165597677230835,1,4.548889398574829
1,211.92735066811142,1695.4188053448913,2.3261399269104004,400,3200,4.992394208908081,2,7.320193529129028
2,241.9130393155176,1935.3043145241409,3.152883291244507,600,4800,6.789852619171143,3,9.945016860961914
3,239.8004437759029,1918.4035502072231,3.986910104751587,800,6400,8.585912227630615,4,12.575669288635254
4,235.8894987852065,1887.115990281652,4.834764719009399,1000,8000,10.424697875976562,5,15.262910604476929
5,211.82235584031045,1694.5788467224836,5.778952121734619,1200,9600,12.502233266830444,6,18.285200595855713
6,188.5477882753713,1508.3823062029703,6.839691162109375,1400,11200,14.464484214782715,7,21.308761835098267
7,208.09621147472663,1664.769691797813,7.800785064697266,1600,12800,16.4627685546875,8,24.268880128860474
8,212.04097139474325,1696.327771157946,8.743999004364014,1800,14400,18.633436918258667,9,27.383426427841187
9,236.24910476584222,1889.9928381267378,9.59056305885315,2000,16000,20.422297716140747,10,30.01937246322632
10,238.3543715734425,1906.83497258754,10.429649829864502,2200,17600,22.539463996887207,11,32.97620677947998
11,231.71478055261682,1853.7182444209345,11.292779922485352,2400,19200,24.325007438659668,12,35.625442028045654
12,241.1852296542026,1929.4818372336208,12.122018098831177,2600,20800,26.14800524711609,13,38.27825117111206
13,241.37038259381845,1930.9630607505476,12.950620174407959,2800,22400,27.937236309051514,14,40.89670538902283
14,239.17709426595374,1913.41675412763,13.786820650100708,3000,24000,29.763665199279785,15,43.5598931312561
15,236.67583150060167,1893.4066520048134,14.631858348846436,3200,25600,31.52429699897766,16,46.16612100601196
16,235.79547658547472,1886.3638126837977,15.480051040649414,3400,27200,33.33427715301514,17,48.82479929924011
17,234.2735713713199,1874.188570970559,16.33375382423401,3600,28800,35.1225471496582,18,51.46731376647949
18,238.38505546569243,1907.0804437255395,17.17273259162903,3800,30400,36.917482137680054,19,54.101807832717896
19,232.24821182115303,1857.9856945692243,18.03388023376465,4000,32000,38.692864656448364,20,56.77589559555054
20,252.8711745192578,2022.9693961540625,19.615713357925415,4400,35200,39.90672755241394,21,59.572715044021606
21,254.32501581836664,2034.600126546933,21.188503980636597,4800,38400,41.074716091156006,22,62.3146014213562
22,250.17589777053004,2001.4071821642403,22.787379026412964,5200,41600,42.37373471260071,23,65.21365475654602
23,252.58321235279655,2020.6656988223724,24.371015548706055,5600,44800,43.55084037780762,24,67.97566246986389
24,239.92602531053268,1919.4082024842614,26.038196086883545,6000,48000,44.879233598709106,25,70.97240400314331
25,252.49946722500684,2019.9957378000547,27.622357845306396,6400,51200,46.06289076805115,26,73.74138832092285
26,251.32775656650287,2010.622052532023,29.213905096054077,6800,54400,47.438321590423584,27,76.70944261550903
27,252.7452340654068,2021.9618725232544,30.796526432037354,7200,57600,48.64866280555725,28,79.50366973876953
28,250.61766293262062,2004.941303460965,32.39258313179016,7600,60800,49.97264647483826,29,82.42483019828796
29,253.72581359612278,2029.8065087689822,33.969088077545166,8000,64000,51.28940200805664,30,85.31922554969788
30,251.569473711201,2012.555789689608,35.55910611152649,8400,67200,52.50620079040527,31,88.12741136550903
31,252.40844839030567,2019.2675871224453,37.14383912086487,8800,70400,53.715007066726685,32,90.92205858230591
32,250.93504519973436,2007.480361597875,38.73787713050842,9200,73600,54.96648836135864,33,93.76861834526062
33,252.84705097959073,2022.7764078367259,40.31986117362976,9600,76800,56.16596794128418,34,96.55121517181396
34,249.71189806729916,1997.6951845383933,41.92170715332031,10000,80000,57.35964488983154,35,99.347811460495
35,246.2672287227531,1970.1378297820247,43.54595899581909,10400,83200,58.57814812660217,36,102.19170880317688
36,209.77286131525403,1678.1828905220323,45.45278334617615,10800,86400,59.95668148994446,37,105.47826266288757
37,245.5310974002606,1964.2487792020847,47.081904888153076,11200,89600,61.15261960029602,38,108.30468344688416
38,248.24664837307097,1985.9731869845677,48.69320559501648,11600,92800,62.49657440185547,39,111.2611231803894
39,242.5373559388288,1940.2988475106304,50.34243607521057,12000,96000,63.76034069061279,40,114.21156692504883
40,248.71232950631304,1989.6986360505043,51.95071983337402,12400,99200,65.10457277297974,41,117.16541290283203
41,240.8067878019591,1926.4543024156728,53.61180257797241,12800,102400,66.60339021682739,42,120.32664060592651
42,215.74331081540714,1725.9464865232571,55.46585774421692,13200,105600,68.0520327091217,43,123.63048148155212
43,248.62538326227514,1989.003066098201,57.07470393180847,13600,108800,69.31610941886902,44,126.50478029251099
44,254.05054506518812,2032.404360521505,58.64919376373291,14000,112000,70.50985813140869,45,129.27424812316895
45,249.63992616098108,1997.1194092878486,60.25150156021118,14400,115200,71.69469904899597,46,132.06268000602722
46,252.40408144045247,2019.2326515236198,61.83626198768616,14800,118400,72.89134240150452,47,134.84517168998718
47,251.104166102287,2008.833328818296,63.42922639846802,15200,121600,74.14400148391724,48,137.6920349597931
48,252.77318460129865,2022.1854768103892,65.01167273521423,15600,124800,75.52081894874573,49,140.65283823013306
49,252.15689286348217,2017.2551429078574,66.59798669815063,16000,128000,76.70766949653625,50,143.42727708816528
50,251.66143610023846,2013.2914888019077,68.18742370605469,16400,131200,77.98836755752563,51,146.29848265647888
51,250.65765225086238,2005.261218006899,69.78322577476501,16800,134400,79.2189085483551,52,149.12592887878418
52,254.6402298759857,2037.1218390078857,71.35406947135925,17200,137600,80.59620594978333,53,152.0751247406006
53,261.9272960886267,2095.4183687090135,72.8812108039856,17600,140800,81.91006565093994,54,154.91721439361572
