,sampling/mean_reward,sampling/0/mean_reward,sampling/1/mean_reward,sampling/episodes,sampling/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
0,0.06,0.03,0.03,100,1000,198.78462957363456,1987.8462957363456,0.5030570030212402,1,100,1000,13.925897359848022,20.0,10.0,10.0,10,100,14.569337844848633
1,19.34,9.67,9.67,100,1000,100.68486672584734,1006.8486672584735,1.4962549209594727,2,200,2000,24.30146098136902,20.0,10.0,10.0,10,100,25.99954390525818
2,19.64,9.82,9.82,100,1000,94.11361342033761,941.1361342033762,2.558800458908081,3,300,3000,40.03340411186218,20.0,10.0,10.0,10,100,42.87658715248108
3,19.6,9.8,9.8,100,1000,120.28202570763091,1202.820257076309,3.3901798725128174,4,400,4000,53.538310050964355,20.0,10.0,10.0,10,100,57.32579565048218
4,19.34,9.67,9.67,100,1000,132.92703836001348,1329.2703836001347,4.142472267150879,5,500,5000,62.8151433467865,18.0,9.0,9.0,10,100,67.48593854904175
5,17.82,8.91,8.91,100,1000,116.57745181939643,1165.7745181939642,5.0002710819244385,6,600,6000,76.47252440452576,18.0,9.0,9.0,10,100,82.13367366790771
6,17.76,8.88,8.88,100,1000,98.56804685614456,985.6804685614455,6.014798641204834,7,700,7000,83.68205857276917,18.0,9.0,9.0,10,100,90.42327857017517
7,17.92,8.96,8.96,100,1000,91.72262237707949,917.226223770795,7.105042219161987,8,800,8000,93.78451299667358,18.0,9.0,9.0,10,100,101.69734454154968
8,17.78,8.89,8.89,100,1000,138.65064421266422,1386.5064421266422,7.826279401779175,9,900,9000,106.27007818222046,18.0,9.0,9.0,10,100,114.96921443939209
9,17.78,8.89,8.89,100,1000,117.10574882218694,1171.0574882218693,8.680208444595337,10,1000,10000,119.98971462249756,18.0,9.0,9.0,10,100,129.66596031188965
10,17.66,8.83,8.83,100,1000,116.84723651520714,1168.4723651520715,9.5360267162323,11,1100,11000,131.8547465801239,18.0,9.0,9.0,10,100,142.49783277511597
11,17.94,8.97,8.97,100,1000,122.26487870885519,1222.648787088552,10.353923082351685,12,1200,12000,148.90593338012695,18.0,9.0,9.0,10,100,160.44427251815796
