,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
25,196.1038293113299,1568.830634490639,17.615313291549683,26,3200,25600,33.225632190704346,10.0,5.0,5.0,10,80,52.564107179641724
26,188.03710706556276,1504.2968565245021,18.678933143615723,27,3400,27200,33.93826413154602,10.0,5.0,5.0,10,80,54.39252066612244
27,183.24808371305184,1465.9846697044147,19.770349740982056,28,3600,28800,34.750693559646606,14.0,7.0,7.0,10,80,56.36038303375244
28,177.65740908795374,1421.25927270363,20.896111965179443,29,3800,30400,35.59706449508667,14.0,7.0,7.0,10,80,58.396573066711426
29,190.06874425054266,1520.5499540043413,21.948362827301025,30,4000,32000,36.431519508361816,14.0,7.0,7.0,10,80,60.33538603782654
30,165.09787165535226,1320.7829732428181,23.159765481948853,31,4200,33600,37.27866458892822,12.0,6.0,6.0,10,80,62.454691886901855
31,170.59860354379285,1364.7888283503428,24.33210802078247,32,4400,35200,38.12886142730713,14.0,7.0,7.0,10,80,64.53150153160095
32,191.54780093351093,1532.3824074680874,25.37623381614685,33,4600,36800,38.95983862876892,14.0,7.0,7.0,10,80,66.46688675880432
33,185.36766673539003,1482.9413338831203,26.45517063140869,34,4800,38400,40.10456824302673,14.0,7.0,7.0,10,80,68.79239892959595
34,142.74781192892465,1141.9824954313972,27.856242895126343,35,5000,40000,40.97154402732849,14.0,7.0,7.0,10,80,71.13109254837036
35,180.98840381653318,1447.9072305322654,28.961286067962646,36,5200,41600,41.88524079322815,14.0,7.0,7.0,10,80,73.20966744422913
36,183.60492694419324,1468.839415553546,30.050581455230713,37,5400,43200,42.79373073577881,14.0,7.0,7.0,10,80,75.28097724914551
37,180.0109226178661,1440.0873809429288,31.161625146865845,38,5600,44800,43.79185676574707,14.0,7.0,7.0,10,80,77.44515466690063
38,196.18399733575808,1569.4719786860646,32.18107628822327,39,5800,46400,44.60644745826721,14.0,7.0,7.0,10,80,79.35882019996643
39,179.1627928831308,1433.3023430650464,33.29737949371338,40,6000,48000,45.430768966674805,14.0,7.0,7.0,10,80,81.38981223106384
40,210.90093779753218,1687.2075023802574,34.245692014694214,41,6200,49600,46.1741144657135,14.0,7.0,7.0,10,80,83.15063738822937
41,193.62188165685663,1548.975053254853,35.27863311767578,42,6400,51200,46.93894100189209,16.0,8.0,8.0,10,80,85.02796626091003
42,190.75236439156157,1526.0189151324926,36.327112913131714,43,6600,52800,47.717695236206055,16.0,8.0,8.0,10,80,86.923579454422
43,187.67346736053983,1501.3877388843187,37.39279365539551,44,6800,54400,48.505372524261475,16.0,8.0,8.0,10,80,88.839182138443
44,207.3974812971342,1659.1798503770735,38.35712552070618,45,7000,56000,49.360021114349365,16.0,8.0,8.0,10,80,90.71139669418335
45,184.7435932447063,1477.9487459576503,39.43970704078674,46,7200,57600,50.21020722389221,16.0,8.0,8.0,10,80,92.7085189819336
46,184.65941084973713,1477.275286797897,40.52278208732605,47,7400,59200,51.02898597717285,16.0,8.0,8.0,10,80,94.67564511299133
47,188.6440382190127,1509.1523057521017,41.582979917526245,48,7600,60800,51.887818813323975,16.0,8.0,8.0,10,80,96.66845369338989
48,182.0336993996882,1456.2695951975056,42.68167757987976,49,7800,62400,52.63974213600159,16.0,8.0,8.0,10,80,98.5724823474884
49,194.37921451741582,1555.0337161393265,43.710594177246094,50,8000,64000,53.528104305267334,16.0,8.0,8.0,10,80,100.548269033432
50,175.4175955687892,1403.3407645503137,44.850730657577515,51,8200,65600,54.36458420753479,16.0,8.0,8.0,10,80,102.58373022079468
51,198.0911143635875,1584.7289149087,45.86036705970764,52,8400,67200,55.21769881248474,16.0,8.0,8.0,10,80,104.51131653785706
52,169.3662691989544,1354.9301535916352,47.041239738464355,53,8600,68800,56.050551414489746,16.0,8.0,8.0,10,80,106.59194588661194
53,203.25460009502942,1626.0368007602353,48.025227308273315,54,8800,70400,56.75405430793762,16.0,8.0,8.0,10,80,108.34099912643433
