,sampling/learner/mean_reward,sampling/learner/learner/mean_reward,sampling/learner/partner/mean_reward,sampling/learner/episodes,sampling/learner/samples,sampling/partner/mean_reward,sampling/partner/response/mean_reward,sampling/partner/partner/mean_reward,sampling/partner/episodes,sampling/partner/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/learner/mean_reward,eval/learner/learner/mean_reward,eval/learner/partner/mean_reward,eval/learner/episodes,eval/learner/samples,eval/partner/mean_reward,eval/partner/response/mean_reward,eval/partner/partner/mean_reward,eval/partner/episodes,eval/partner/samples,total_time_s
0,0.08,0.04,0.04,100,1000,0.02,0.01,0.01,100,1000,178.1303697487414,1781.3036974874142,1.1227731704711914,1,200,2000,4.261751890182495,0.0,0.0,0.0,10,100,0.0,0.0,0.0,10,100,5.504215478897095
1,0.06,0.03,0.03,100,1000,0.06,0.03,0.03,100,1000,181.2295016269073,1812.2950162690731,2.226346254348755,2,400,4000,7.098681688308716,0.0,0.0,0.0,10,100,0.0,0.0,0.0,10,100,9.528794527053833
2,0.02,0.01,0.01,100,1000,0.02,0.01,0.01,100,1000,200.89235914785473,2008.9235914785472,3.2219042778015137,3,600,6000,9.85291314125061,0.0,0.0,0.0,10,100,0.0,0.0,0.0,10,100,13.481417894363403
3,0.02,0.01,0.01,100,1000,0.1,0.05,0.05,100,1000,190.55598652938605,1905.5598652938604,4.271464586257935,4,800,8000,12.432490348815918,0.0,0.0,0.0,10,100,0.0,0.0,0.0,10,100,17.25527262687683
4,0.14,0.07,0.07,100,1000,0.14,0.07,0.07,100,1000,193.7291097536276,1937.2910975362759,5.303833961486816,5,1000,10000,14.84373927116394,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,20.808989763259888
5,1.98,0.99,0.99,100,1000,2.04,1.02,1.02,100,1000,172.4533013943693,1724.5330139436933,6.463568210601807,6,1200,12000,16.787967681884766,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,24.037556648254395
6,0.06,0.03,0.03,100,1000,19.54,9.77,9.77,100,1000,234.5352439990673,2345.352439990673,7.316318511962891,7,1400,14000,19.00207829475403,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,27.243417501449585
7,0.04,0.02,0.02,100,1000,19.62,9.81,9.81,100,1000,206.70088105162415,2067.0088105162417,8.283900260925293,8,1600,16000,21.922420263290405,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,31.24727487564087
8,0.02,0.01,0.01,100,1000,19.72,9.86,9.86,100,1000,182.12898739236812,1821.2898739236812,9.382023096084595,9,1800,18000,23.991962671279907,2.0,1.0,1.0,10,100,20.0,10.0,10.0,10,100,34.50199818611145
9,2.02,1.01,1.01,100,1000,19.48,9.74,9.74,100,1000,214.7115924338334,2147.115924338334,10.313505172729492,10,2000,20000,25.83171796798706,2.0,1.0,1.0,10,100,20.0,10.0,10.0,10,100,37.378727197647095
10,2.06,1.03,1.03,100,1000,19.38,9.69,9.69,100,1000,218.4015198477653,2184.015198477653,11.229249715805054,11,2200,22000,28.182366371154785,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,40.74366021156311
11,0.06,0.03,0.03,100,1000,19.44,9.72,9.72,100,1000,217.06749305734533,2170.6749305734534,12.150622129440308,12,2400,24000,29.947786331176758,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,43.5184440612793
12,0.12,0.06,0.06,100,1000,19.74,9.87,9.87,100,1000,229.39179756793408,2293.9179756793405,13.0224928855896,13,2600,26000,31.631381273269653,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,46.18083906173706
13,0.06,0.03,0.03,100,1000,19.6,9.8,9.8,100,1000,227.66968684388223,2276.6968684388225,13.90095853805542,14,2800,28000,33.93538761138916,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,49.45745897293091
14,0.14,0.07,0.07,100,1000,19.62,9.81,9.81,100,1000,221.36111915954314,2213.6111915954316,14.804459571838379,15,3000,30000,36.51393508911133,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,53.032172441482544
15,0.06,0.03,0.03,100,1000,19.7,9.85,9.85,100,1000,220.9407580342017,2209.4075803420174,15.70967960357666,16,3200,32000,38.511685848236084,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,56.05063199996948
16,0.06,0.03,0.03,100,1000,19.58,9.79,9.79,100,1000,209.92297126080538,2099.229712608054,16.662410020828247,17,3400,34000,40.77025580406189,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,59.40063786506653
17,0.04,0.02,0.02,100,1000,19.46,9.73,9.73,100,1000,224.34237921009284,2243.4237921009285,17.55390453338623,18,3600,36000,42.73400855064392,2.0,1.0,1.0,10,100,20.0,10.0,10.0,10,100,62.40336847305298
18,2.08,1.04,1.04,100,1000,19.58,9.79,9.79,100,1000,221.8212617245644,2218.2126172456437,18.455531358718872,19,3800,38000,44.94161820411682,10.0,5.0,5.0,10,100,20.0,10.0,10.0,10,100,65.60203051567078
19,9.58,4.79,4.79,100,1000,19.54,9.77,9.77,100,1000,198.57884852974004,1985.7884852974005,19.462687969207764,20,4000,40000,47.87064290046692,14.0,7.0,7.0,10,100,20.0,10.0,10.0,10,100,69.63392615318298
20,13.86,6.93,6.93,100,1000,19.68,9.84,9.84,100,1000,207.3962506721718,2073.962506721718,20.42702555656433,21,4200,42000,50.63478183746338,18.0,9.0,9.0,10,100,20.0,10.0,10.0,10,100,73.45174908638
21,17.74,8.87,8.87,100,1000,19.62,9.81,9.81,100,1000,218.8323578155811,2188.323578155811,21.340967178344727,22,4400,44000,53.145068645477295,16.0,8.0,8.0,10,100,20.0,10.0,10.0,10,100,76.9796257019043
22,15.6,7.8,7.8,100,1000,19.74,9.87,9.87,100,1000,234.38589785393742,2343.858978539374,22.194260835647583,23,4600,46000,54.85234999656677,16.0,8.0,8.0,10,100,20.0,10.0,10.0,10,100,79.62593865394592
23,15.56,7.78,7.78,100,1000,19.7,9.85,9.85,100,1000,210.82143276306599,2108.21432763066,23.14293098449707,24,4800,48000,56.909751892089844,16.0,8.0,8.0,10,100,20.0,10.0,10.0,10,100,82.71844720840454
24,15.6,7.8,7.8,100,1000,19.68,9.84,9.84,100,1000,217.44436881159245,2174.4436881159245,24.062706470489502,25,5000,50000,58.917341232299805,18.0,9.0,9.0,10,100,20.0,10.0,10.0,10,100,85.7702145576477
25,17.6,8.8,8.8,100,1000,19.42,9.71,9.71,100,1000,208.73004636367506,2087.3004636367505,25.02088189125061,26,5200,52000,60.83336043357849,18.0,9.0,9.0,10,100,20.0,10.0,10.0,10,100,88.73325872421265
26,17.78,8.89,8.89,100,1000,19.58,9.79,9.79,100,1000,223.1308889131829,2231.308889131829,25.917216777801514,27,5400,54000,63.00712823867798,18.0,9.0,9.0,10,100,20.0,10.0,10.0,10,100,91.89395570755005
27,17.64,8.82,8.82,100,1000,19.64,9.82,9.82,100,1000,220.2531572451026,2202.531572451026,26.825262784957886,28,5600,56000,65.80941438674927,18.0,9.0,9.0,10,100,20.0,10.0,10.0,10,100,95.69326734542847
