,sampling/mean_reward,sampling/0/mean_reward,sampling/1/mean_reward,sampling/episodes,sampling/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
0,12.7,6.35,6.35,100,1000,6.739672782554081,67.39672782554081,14.837515592575073,1,100,1000,31.2175874710083,20.0,10.0,10.0,10,100,49.06218123435974
1,18.3,9.15,9.15,100,1000,6.019334584242375,60.19334584242375,31.450647592544556,2,200,2000,72.52154016494751,18.0,9.0,9.0,10,100,109.08256793022156
2,17.22,8.61,8.61,100,1000,7.636202296993969,76.36202296993969,44.546162366867065,3,300,3000,93.43481087684631,18.0,9.0,9.0,10,100,144.34103655815125
3,16.72,8.36,8.36,100,1000,8.514103674495102,85.14103674495102,56.29137992858887,4,400,4000,111.84966444969177,18.0,9.0,9.0,10,100,175.16633987426758
4,16.94,8.47,8.47,100,1000,10.381141965613141,103.8114196561314,65.92423152923584,5,500,5000,132.41461539268494,20.0,10.0,10.0,10,100,206.80727672576904
5,18.24,9.12,9.12,100,1000,4.177228825275498,41.772288252754976,89.86354732513428,6,600,6000,160.89410066604614,20.0,10.0,10.0,10,100,261.4614224433899
6,18.34,9.17,9.17,100,1000,5.454082953839983,54.54082953839983,108.19843530654907,7,700,7000,198.6827952861786,20.0,10.0,10.0,10,100,318.9608449935913
7,18.24,9.12,9.12,100,1000,4.446621158999149,44.466211589991495,130.68742108345032,8,800,8000,262.8539876937866,20.0,10.0,10.0,10,100,406.4054033756256
8,18.2,9.1,9.1,100,1000,6.249402893016487,62.49402893016487,146.68894982337952,9,900,9000,290.27392292022705,20.0,10.0,10.0,10,100,450.53714299201965
9,18.5,9.25,9.25,100,1000,6.558574884004983,65.58574884004983,161.93616461753845,10,1000,10000,321.94368958473206,20.0,10.0,10.0,10,100,498.2613801956177
10,18.38,9.19,9.19,100,1000,8.444752599870133,84.44752599870132,173.7778377532959,11,1100,11000,345.572961807251,20.0,10.0,10.0,10,100,534.6896886825562
11,18.68,9.34,9.34,100,1000,8.521183988974053,85.21183988974055,185.51329612731934,12,1200,12000,360.6054878234863,18.0,9.0,9.0,10,100,561.8773477077484
12,17.06,8.53,8.53,100,1000,14.736936120714939,147.36936120714938,192.29896712303162,13,1300,13000,391.83295345306396,20.0,10.0,10.0,10,100,601.317430973053
13,18.14,9.07,9.07,100,1000,8.24313480557812,82.43134805578119,204.43027424812317,14,1400,14000,410.3809642791748,20.0,10.0,10.0,10,100,632.7472803592682
14,18.44,9.22,9.22,100,1000,8.713611053426229,87.13611053426229,215.90657258033752,15,1500,15000,438.8174719810486,20.0,10.0,10.0,10,100,674.0263123512268
15,18.14,9.07,9.07,100,1000,5.193045394265404,51.93045394265404,235.16309595108032,16,1600,16000,459.704669713974,20.0,10.0,10.0,10,100,716.0169851779938
16,18.08,9.04,9.04,100,1000,7.613328865379836,76.13328865379836,248.29795479774475,17,1700,17000,479.06621503829956,20.0,10.0,10.0,10,100,749.175535440445
17,18.42,9.21,9.21,100,1000,12.536732444571124,125.36732444571125,256.27451491355896,18,1800,18000,528.6916680335999,20.0,10.0,10.0,10,100,808.6062853336334
18,18.34,9.17,9.17,100,1000,8.916640576647564,89.16640576647565,267.4895009994507,19,1900,19000,558.0134484767914,20.0,10.0,10.0,10,100,851.5012986660004
19,17.82,8.91,8.91,100,1000,8.105783436083215,81.05783436083215,279.8263714313507,20,2000,20000,595.545172214508,20.0,10.0,10.0,10,100,902.4872314929962
20,18.22,9.11,9.11,100,1000,5.629932209468769,56.29932209468768,297.58857464790344,21,2100,21000,616.0715439319611,20.0,10.0,10.0,10,100,941.9703397750854
21,18.32,9.16,9.16,100,1000,5.969612321138278,59.69612321138278,314.3400812149048,22,2200,22000,646.8512761592865,20.0,10.0,10.0,10,100,990.3910827636719
22,17.8,8.9,8.9,100,1000,10.468751680862894,104.68751680862894,323.89231848716736,23,2300,23000,658.3305552005768,20.0,10.0,10.0,10,100,1012.2444546222687
23,18.08,9.04,9.04,100,1000,5.186487708136015,51.86487708136015,343.1731894016266,24,2400,24000,679.5781419277191,20.0,10.0,10.0,10,100,1053.9462521076202
24,17.8,8.9,8.9,100,1000,7.350627120425109,73.50627120425109,356.77747082710266,25,2500,25000,704.2336709499359,20.0,10.0,10.0,10,100,1095.2060704231262
25,18.02,9.01,9.01,100,1000,6.5899003631834026,65.89900363183402,371.95220708847046,26,2600,26000,749.6840372085571,18.0,9.0,9.0,10,100,1156.6781232357025
