,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
0,159.83433918016337,1278.674713441307,0.625647783279419,1,100,800,1.6570158004760742,10.0,5.0,5.0,10,80,2.35903000831604
1,184.1525273036606,1473.2202184292848,1.1686758995056152,2,200,1600,3.103057861328125,14.0,7.0,7.0,10,80,4.407212972640991
2,178.35427589755366,1426.8342071804293,1.7293577194213867,3,300,2400,4.671586751937866,16.0,8.0,8.0,10,80,6.614614248275757
3,155.59388857851505,1244.7511086281204,2.372056484222412,4,400,3200,6.247180223464966,16.0,8.0,8.0,10,80,8.892981052398682
4,157.36333099844185,1258.9066479875348,3.00752854347229,5,500,4000,7.84976601600647,16.0,8.0,8.0,10,80,11.194386720657349
5,158.32156576757558,1266.5725261406046,3.6391544342041016,6,600,4800,9.565903425216675,16.0,8.0,8.0,10,80,13.607687950134277
6,173.0454073059146,1384.3632584473169,4.2170374393463135,7,700,5600,11.301208734512329,16.0,8.0,8.0,10,80,15.997777223587036
7,178.8088120691037,1430.4704965528297,4.776293992996216,8,800,6400,12.853363037109375,16.0,8.0,8.0,10,80,18.16516637802124
8,175.15186871494032,1401.2149497195226,5.347227096557617,9,900,7200,14.338192224502563,16.0,8.0,8.0,10,80,20.289891719818115
9,201.73467704349775,1613.877416347982,5.842927694320679,10,1000,8000,16.022686004638672,16.0,8.0,8.0,10,80,22.54420042037964
10,191.34266832965486,1530.7413466372388,6.36555027961731,11,1100,8800,17.594163179397583,16.0,8.0,8.0,10,80,24.708359003067017
11,173.46557780860283,1387.7246224688226,6.942033529281616,12,1200,9600,19.19894528388977,16.0,8.0,8.0,10,80,26.96067190170288
12,195.062495465614,1560.499963724912,7.4546897411346436,13,1300,10400,20.851531505584717,16.0,8.0,8.0,10,80,29.181719541549683
13,160.4177136663385,1283.341709330708,8.078062295913696,14,1400,11200,22.47055220603943,16.0,8.0,8.0,10,80,31.488708972930908
14,191.82879537595306,1534.6303630076245,8.599360466003418,15,1500,12000,24.289247512817383,16.0,8.0,8.0,10,80,33.89059400558472
15,186.00883854902335,1488.0707083921868,9.136969327926636,16,1600,12800,25.932868480682373,16.0,8.0,8.0,10,80,36.131908655166626
16,151.56785837924488,1212.542867033959,9.79673981666565,17,1700,13600,27.387773990631104,16.0,8.0,8.0,10,80,38.32123517990112
17,154.02810864327375,1232.22486914619,10.445971965789795,18,1800,14400,28.69980478286743,16.0,8.0,8.0,10,80,40.35143423080444
18,167.4452399135927,1339.5619193087416,11.043182134628296,19,1900,15200,29.959330081939697,16.0,8.0,8.0,10,80,42.261226177215576
19,180.5633391723015,1444.506713378412,11.597004413604736,20,2000,16000,31.390786170959473,16.0,8.0,8.0,10,80,44.33236765861511
20,191.70849987773414,1533.6679990218731,12.640254974365234,21,2200,17600,32.15566849708557,16.0,8.0,8.0,10,80,46.1929566860199
21,192.08686056690826,1536.694884535266,13.681450605392456,22,2400,19200,32.93244934082031,16.0,8.0,8.0,10,80,48.091490507125854
22,197.3812874548436,1579.0502996387488,14.69471788406372,23,2600,20800,33.73589754104614,16.0,8.0,8.0,10,80,49.96746110916138
23,209.20254915329983,1673.6203932263986,15.650729179382324,24,2800,22400,34.50070762634277,16.0,8.0,8.0,10,80,51.74091053009033
24,202.98281812552614,1623.862545004209,16.6360342502594,25,3000,24000,35.30429458618164,16.0,8.0,8.0,10,80,53.586830615997314
25,181.7124879072909,1453.6999032583271,17.736674070358276,26,3200,25600,36.06657791137695,16.0,8.0,8.0,10,80,55.505890130996704
26,187.43113723219042,1499.4490978575234,18.8037326335907,27,3400,27200,36.95035648345947,16.0,8.0,8.0,10,80,57.51507759094238
27,206.47224370425906,1651.7779496340725,19.772385835647583,28,3600,28800,37.736652135849,16.0,8.0,8.0,10,80,59.32846999168396
28,167.8886075381885,1343.108860305508,20.96365189552307,29,3800,30400,38.56541466712952,16.0,8.0,8.0,10,80,61.43304681777954
29,181.27786880392506,1450.2229504314005,22.066930532455444,30,4000,32000,39.397093772888184,16.0,8.0,8.0,10,80,63.423011779785156
30,198.6984159995111,1589.5873279960888,23.07348108291626,31,4200,33600,40.24960112571716,16.0,8.0,8.0,10,80,65.33696103096008
31,178.39376015859477,1427.1500812687582,24.194596529006958,32,4400,35200,41.052735328674316,16.0,8.0,8.0,10,80,67.31863307952881
32,205.18848552373942,1641.5078841899153,25.169310092926025,33,4600,36800,41.92109560966492,16.0,8.0,8.0,10,80,69.2290997505188
33,199.5436139372587,1596.3489114980696,26.171597242355347,34,4800,38400,42.80127501487732,16.0,8.0,8.0,10,80,71.16679072380066
34,194.13625118317793,1553.0900094654235,27.201801538467407,35,5000,40000,43.58570075035095,16.0,8.0,8.0,10,80,73.06541562080383
35,168.92354286818957,1351.3883429455166,28.38576912879944,36,5200,41600,44.41266345977783,16.0,8.0,8.0,10,80,75.13023543357849
36,191.46919128389868,1531.7535302711894,29.430323600769043,37,5400,43200,45.3394775390625,16.0,8.0,8.0,10,80,77.15813779830933
37,181.70599337215424,1453.647946977234,30.53100275993347,38,5600,44800,46.20099639892578,16.0,8.0,8.0,10,80,79.17513751983643
38,192.75900918755946,1542.0720735004757,31.568567752838135,39,5800,46400,46.91591954231262,14.0,7.0,7.0,10,80,80.98201417922974
39,173.30592207542145,1386.4473766033716,32.722596406936646,40,6000,48000,47.766480445861816,14.0,7.0,7.0,10,80,83.11243605613708
