,sampling/mean_reward,sampling/0/mean_reward,sampling/1/mean_reward,sampling/episodes,sampling/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
0,0.08,0.04,0.04,100,1000,7.359639053590941,73.5963905359094,13.587622880935669,1,100,1000,31.08878445625305,0.0,0.0,0.0,10,100,45.762500286102295
1,0.26,0.13,0.13,100,1000,9.351101963321545,93.51101963321545,24.28154969215393,2,200,2000,55.5154025554657,4.0,2.0,2.0,10,100,82.2929675579071
2,4.04,2.02,2.02,100,1000,7.672680186300539,76.72680186300539,37.314805030822754,3,300,3000,76.77549338340759,14.0,7.0,7.0,10,100,121.53145813941956
3,12.68,6.34,6.34,100,1000,8.432826537890614,84.32826537890614,49.17322516441345,4,400,4000,102.66665768623352,16.0,8.0,8.0,10,100,160.20628333091736
4,15.22,7.61,7.61,100,1000,9.743759329397317,97.43759329397317,59.43620443344116,5,500,5000,121.27437496185303,18.0,9.0,9.0,10,100,192.7250156402588
5,16.8,8.4,8.4,100,1000,5.724387185917664,57.243871859176636,76.90532326698303,6,600,6000,141.3554768562317,18.0,9.0,9.0,10,100,232.78831458091736
6,16.32,8.16,8.16,100,1000,5.4995080106512795,54.995080106512795,95.0887680053711,7,700,7000,170.61748147010803,20.0,10.0,10.0,10,100,281.1835980415344
7,17.78,8.89,8.89,100,1000,6.789751042213569,67.8975104221357,109.81684851646423,8,800,8000,194.00859951972961,20.0,10.0,10.0,10,100,321.2649643421173
8,17.6,8.8,8.8,100,1000,14.626517635323667,146.26517635323668,116.6537458896637,9,900,9000,227.73653197288513,4.0,2.0,2.0,10,100,362.7643084526062
9,6.14,3.07,3.07,100,1000,6.695551551499395,66.95551551499395,131.58903527259827,10,1000,10000,264.2624340057373,20.0,10.0,10.0,10,100,415.81057357788086
10,16.54,8.27,8.27,100,1000,6.918944256849547,69.18944256849547,146.0421073436737,11,1100,11000,284.4954442977905,18.0,9.0,9.0,10,100,452.2316138744354
11,15.98,7.99,7.99,100,1000,10.786774654840514,107.86774654840514,155.3127191066742,12,1200,12000,314.7521061897278,20.0,10.0,10.0,10,100,494.20867228507996
12,17.72,8.86,8.86,100,1000,5.847811298755921,58.478112987559214,172.41313409805298,13,1300,13000,339.88992190361023,20.0,10.0,10.0,10,100,537.9275937080383
13,16.64,8.32,8.32,100,1000,6.5918070405800675,65.91807040580068,187.58348107337952,14,1400,14000,366.8482229709625,8.0,4.0,4.0,10,100,582.0155777931213
14,7.5,3.75,3.75,100,1000,9.00504666869627,90.0504666869627,198.68836522102356,15,1500,15000,395.1891405582428,18.0,9.0,9.0,10,100,623.4825885295868
15,15.36,7.68,7.68,100,1000,7.697916025640755,76.97916025640755,211.67889404296875,16,1600,16000,421.5148491859436,14.0,7.0,7.0,10,100,665.1236622333527
16,12.5,6.25,6.25,100,1000,5.922755887613785,59.22755887613784,228.56292605400085,17,1700,17000,444.6060540676117,20.0,10.0,10.0,10,100,706.095276594162
17,17.66,8.83,8.83,100,1000,6.775637317279242,67.75637317279241,243.32168531417847,18,1800,18000,472.64800357818604,20.0,10.0,10.0,10,100,749.727637052536
18,17.64,8.82,8.82,100,1000,8.80248333761778,88.0248333761778,254.68211579322815,19,1900,19000,496.9796841144562,20.0,10.0,10.0,10,100,786.6350088119507
