,sampling/mean_reward,sampling/0/mean_reward,sampling/1/mean_reward,sampling/episodes,sampling/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
0,0.18,0.09,0.09,100,1000,93.71617586172303,937.1617586172302,1.067051649093628,1,100,1000,10.973968982696533,0.0,0.0,0.0,10,100,12.107809066772461
1,0.3,0.15,0.15,100,1000,128.47247981391524,1284.7247981391524,1.845428466796875,2,200,2000,25.70871067047119,6.0,3.0,3.0,10,100,27.69381284713745
2,4.2,2.1,2.1,100,1000,118.31468239718525,1183.1468239718524,2.6906321048736572,3,300,3000,36.45193123817444,10.0,5.0,5.0,10,100,39.41330862045288
3,8.72,4.36,4.36,100,1000,117.03284913594777,1170.3284913594778,3.545093059539795,4,400,4000,45.04992341995239,16.0,8.0,8.0,10,100,49.0036084651947
4,14.44,7.22,7.22,100,1000,85.5511971710184,855.511971710184,4.713983774185181,5,500,5000,59.1900680065155,20.0,10.0,10.0,10,100,64.41290855407715
5,18.28,9.14,9.14,100,1000,110.48673333322796,1104.8673333322797,5.619069814682007,6,600,6000,72.3340392112732,20.0,10.0,10.0,10,100,78.60617089271545
6,18.2,9.1,9.1,100,1000,110.60718256404414,1106.0718256404414,6.523170232772827,7,700,7000,83.36160016059875,20.0,10.0,10.0,10,100,90.66702556610107
7,18.24,9.12,9.12,100,1000,79.21616058750938,792.1616058750939,7.785538911819458,8,800,8000,95.15552997589111,20.0,10.0,10.0,10,100,103.8201425075531
8,18.34,9.17,9.17,100,1000,119.99836351719065,1199.9836351719066,8.618883609771729,9,900,9000,108.60545659065247,20.0,10.0,10.0,10,100,118.24804043769836
9,18.18,9.09,9.09,100,1000,99.52570918199308,995.2570918199308,9.62364912033081,10,1000,10000,122.55764031410217,20.0,10.0,10.0,10,100,133.32927227020264
10,17.98,8.99,8.99,100,1000,137.6279504273409,1376.279504273409,10.350245714187622,11,1100,11000,136.9221487045288,20.0,10.0,10.0,10,100,148.5191195011139
11,18.06,9.03,9.03,100,1000,111.55345680276497,1115.5345680276496,11.246676921844482,12,1200,12000,149.77050614356995,20.0,10.0,10.0,10,100,162.34872484207153
12,18.08,9.04,9.04,100,1000,135.10018076472628,1351.0018076472627,11.986868381500244,13,1300,13000,167.2485122680664,20.0,10.0,10.0,10,100,180.6266987323761
13,18.1,9.05,9.05,100,1000,116.7798603030989,1167.798603030989,12.843180418014526,14,1400,14000,182.8894636631012,20.0,10.0,10.0,10,100,197.23616075515747
14,17.78,8.89,8.89,100,1000,128.82045989932217,1288.2045989932217,13.619454622268677,15,1500,15000,193.70251202583313,20.0,10.0,10.0,10,100,208.93650317192078
15,17.76,8.88,8.88,100,1000,141.03948045816688,1410.3948045816687,14.328475952148438,16,1600,16000,204.4304051399231,18.0,9.0,9.0,10,100,220.51991629600525
16,16.4,8.2,8.2,100,1000,139.3486107345804,1393.486107345804,15.046100616455078,17,1700,17000,214.45383548736572,20.0,10.0,10.0,10,100,231.3721582889557
17,17.88,8.94,8.94,100,1000,119.15023687702423,1191.5023687702421,15.885377168655396,18,1800,18000,222.84328985214233,20.0,10.0,10.0,10,100,240.73383235931396
18,17.68,8.84,8.84,100,1000,133.63554741041747,1336.3554741041746,16.633681058883667,19,1900,19000,229.30758047103882,20.0,10.0,10.0,10,100,248.08194231987
19,17.98,8.99,8.99,100,1000,112.1277682711039,1121.277682711039,17.52552080154419,20,2000,20000,242.79561614990234,20.0,10.0,10.0,10,100,262.5634660720825
20,18.28,9.14,9.14,100,1000,91.9931007981808,919.931007981808,18.612558841705322,21,2100,21000,258.51063799858093,16.0,8.0,8.0,10,100,279.49497079849243
21,14.66,7.33,7.33,100,1000,144.8572996536317,1448.5729965363173,19.30289340019226,22,2200,22000,269.40780305862427,20.0,10.0,10.0,10,100,291.1945745944977
22,18.18,9.09,9.09,100,1000,156.15329314743727,1561.5329314743726,19.943289756774902,23,2300,23000,284.1703608036041,20.0,10.0,10.0,10,100,306.7064800262451
23,18.56,9.28,9.28,100,1000,140.46808584744275,1404.6808584744276,20.655195236206055,24,2400,24000,294.6674237251282,16.0,8.0,8.0,10,100,317.9900803565979
24,14.7,7.35,7.35,100,1000,112.34403818884752,1123.4403818884753,21.545318126678467,25,2500,25000,305.83344054222107,20.0,10.0,10.0,10,100,330.1081461906433
25,18.14,9.07,9.07,100,1000,105.0302434626918,1050.302434626918,22.497424840927124,26,2600,26000,318.6929438114166,20.0,10.0,10.0,10,100,344.00136160850525
