,sampling/learner/mean_reward,sampling/learner/learner/mean_reward,sampling/learner/partner/mean_reward,sampling/learner/episodes,sampling/learner/samples,sampling/partner/mean_reward,sampling/partner/response/mean_reward,sampling/partner/partner/mean_reward,sampling/partner/episodes,sampling/partner/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/learner/mean_reward,eval/learner/learner/mean_reward,eval/learner/partner/mean_reward,eval/learner/episodes,eval/learner/samples,eval/partner/mean_reward,eval/partner/response/mean_reward,eval/partner/partner/mean_reward,eval/partner/episodes,eval/partner/samples,total_time_s
0,19.58,9.79,9.79,100,1000,0.06,0.03,0.03,100,1000,189.25827324495302,1892.5827324495303,1.0567569732666016,1,200,2000,3.4409046173095703,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,4.583773851394653
1,0.06,0.03,0.03,100,1000,18.82,9.41,9.41,100,1000,234.0295869180582,2340.295869180582,1.9113497734069824,2,400,4000,6.109820365905762,0.0,0.0,0.0,10,100,2.0,1.0,1.0,10,100,8.194398403167725
2,0.04,0.02,0.02,100,1000,2.16,1.08,1.08,100,1000,208.16168931265963,2081.616893126596,2.8721413612365723,3,600,6000,9.223745107650757,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,12.356853485107422
3,0.1,0.05,0.05,100,1000,19.28,9.64,9.64,100,1000,230.5801689039495,2305.8016890394947,3.739518642425537,4,800,8000,11.113789796829224,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,15.198493242263794
4,0.1,0.05,0.05,100,1000,18.52,9.26,9.26,100,1000,284.7821326761775,2847.821326761775,4.441809892654419,5,1000,10000,11.40819787979126,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,16.291319847106934
5,0.14,0.07,0.07,100,1000,19.2,9.6,9.6,100,1000,233.52935608696862,2335.293560869686,5.298233270645142,6,1200,12000,11.696209907531738,2.0,1.0,1.0,10,100,20.0,10.0,10.0,10,100,17.522016525268555
6,1.82,0.91,0.91,100,1000,18.88,9.44,9.44,100,1000,261.70572469417624,2617.057246941762,6.062450408935547,7,1400,14000,12.49674940109253,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,19.167373180389404
7,0.04,0.02,0.02,100,1000,18.96,9.48,9.48,100,1000,225.18580240384796,2251.8580240384795,6.950605869293213,8,1600,16000,12.911455392837524,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,20.57661771774292
8,0.08,0.04,0.04,100,1000,18.72,9.36,9.36,100,1000,221.56394104840115,2215.6394104840115,7.8532798290252686,9,1800,18000,13.286095380783081,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,21.95690894126892
9,0.04,0.02,0.02,100,1000,18.0,9.0,9.0,100,1000,235.9744351426771,2359.744351426771,8.700829267501831,10,2000,20000,13.534525156021118,0.0,0.0,0.0,10,100,2.0,1.0,1.0,10,100,23.138915061950684
