,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
0,169.6530696526247,1357.2245572209977,0.5894381999969482,1,100,800,1.6798038482666016,12.0,6.0,6.0,10,80,2.325714111328125
1,198.0503324917355,1584.402659933884,1.0943603515625,2,200,1600,3.5188682079315186,12.0,6.0,6.0,10,80,4.746487140655518
2,169.88801327250104,1359.1041061800083,1.6829833984375,3,300,2400,5.22649359703064,6.0,3.0,3.0,10,80,7.095834970474243
3,208.75638193775987,1670.051055502079,2.162010669708252,4,400,3200,6.25993275642395,8.0,4.0,4.0,10,80,8.65786099433899
4,234.7042822872664,1877.6342582981313,2.588078737258911,5,500,4000,7.125389814376831,12.0,6.0,6.0,10,80,10.000562191009521
5,173.5473291826778,1388.3786334614224,3.164290428161621,6,600,4800,8.100613594055176,10.0,5.0,5.0,10,80,11.601630687713623
6,237.57758662683537,1900.620693014683,3.585205554962158,7,700,5600,8.984824419021606,10.0,5.0,5.0,10,80,12.956339359283447
7,237.0038198133038,1896.0305585064305,4.007139682769775,8,800,6400,9.854317665100098,8.0,4.0,4.0,10,80,14.296830892562866
8,240.54611595501186,1924.3689276400949,4.422860383987427,9,900,7200,10.731624126434326,16.0,8.0,8.0,10,80,15.639726638793945
9,223.84377114727363,1790.750169178189,4.869600534439087,10,1000,8000,11.596603870391846,10.0,5.0,5.0,10,80,17.001366138458252
10,233.06790486362016,1864.5432389089613,5.298660039901733,11,1100,8800,12.448479890823364,12.0,6.0,6.0,10,80,18.331141471862793
11,237.95916862162184,1903.6733489729747,5.718900203704834,12,1200,9600,13.310635328292847,2.0,1.0,1.0,10,80,19.66770648956299
12,235.50632154445913,1884.050572355673,6.143517255783081,13,1300,10400,14.175633192062378,0.0,0.0,0.0,10,80,21.007067918777466
13,234.27847849558762,1874.227827964701,6.570359706878662,14,1400,11200,15.0384202003479,10.0,5.0,5.0,10,80,22.3457190990448
14,236.4741408277912,1891.7931266223295,6.993238925933838,15,1500,12000,15.897037267684937,0.0,0.0,0.0,10,80,23.675989627838135
15,246.32732261489744,1970.6185809191795,7.399202823638916,16,1600,12800,16.749606609344482,14.0,7.0,7.0,10,80,24.983646392822266
16,238.11979611973481,1904.9583689578785,7.819159507751465,17,1700,13600,17.646446466445923,0.0,0.0,0.0,10,80,26.349626541137695
17,238.30311390847302,1906.4249112677842,8.238793134689331,18,1800,14400,18.505309343338013,12.0,6.0,6.0,10,80,27.679054975509644
18,233.45474623516105,1867.6379698812884,8.667141675949097,19,1900,15200,19.3671875,12.0,6.0,6.0,10,80,29.01921010017395
19,232.54379146425438,1860.350331714035,9.097168207168579,20,2000,16000,20.228503465652466,4.0,2.0,2.0,10,80,30.38287091255188
20,242.11349647390773,1936.9079717912618,9.923227071762085,21,2200,17600,20.793355226516724,4.0,2.0,2.0,10,80,31.82246971130371
21,219.1490745750376,1753.1925966003007,10.835847854614258,22,2400,19200,21.42149782180786,4.0,2.0,2.0,10,80,33.411802768707275
22,248.82464977087426,1990.597198166994,11.639626741409302,23,2600,20800,21.991117477416992,4.0,2.0,2.0,10,80,34.83523440361023
23,245.454476293473,1963.635810347784,12.454441785812378,24,2800,22400,22.569832801818848,0.0,0.0,0.0,10,80,36.27785325050354
24,253.2998000139504,2026.3984001116032,13.244019985198975,25,3000,24000,23.150463819503784,8.0,4.0,4.0,10,80,37.698280334472656
25,246.78553367328118,1974.2842693862494,14.054440259933472,26,3200,25600,23.73222255706787,10.0,5.0,5.0,10,80,39.140613079071045
26,248.30958657733538,1986.476692618683,14.859886407852173,27,3400,27200,24.304877519607544,8.0,4.0,4.0,10,80,40.5694420337677
27,248.7351542146997,1989.8812337175975,15.663954496383667,28,3600,28800,24.893605947494507,8.0,4.0,4.0,10,80,42.011423110961914
28,243.5623257180619,1948.4986057444953,16.48509955406189,29,3800,30400,25.479952096939087,4.0,2.0,2.0,10,80,43.46757388114929
29,248.36715170941372,1986.9372136753097,17.290359020233154,30,4000,32000,26.189085483551025,6.0,3.0,3.0,10,80,45.0311713218689
30,246.54393266088266,1972.3514612870613,18.10157346725464,31,4200,33600,26.773010730743408,10.0,5.0,5.0,10,80,46.475523233413696
31,247.33737964626948,1978.6990371701559,18.91018557548523,32,4400,35200,27.368709802627563,4.0,2.0,2.0,10,80,47.93545317649841
