,sampling/mean_reward,sampling/0/mean_reward,sampling/1/mean_reward,sampling/episodes,sampling/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
0,4.12,2.06,2.06,100,1000,96.24356070775423,962.4356070775423,1.0390305519104004,1,100,1000,2.5135245323181152,0.0,0.0,0.0,10,100,3.645953893661499
1,3.42,1.71,1.71,100,1000,94.2589790114806,942.5897901148061,2.0999374389648438,2,200,2000,3.505204439163208,6.2,3.1,3.1,10,100,5.787076950073242
2,3.2,1.6,1.6,100,1000,114.63552290262126,1146.3552290262126,2.9722673892974854,3,300,3000,4.082455396652222,4.4,2.2,2.2,10,100,7.321635007858276
3,6.76,3.38,3.38,100,1000,110.25264794838216,1102.5264794838215,3.87927508354187,4,400,4000,4.670109033584595,6.0,3.0,3.0,10,100,8.894351720809937
4,3.6,1.8,1.8,100,1000,113.41014236078252,1134.1014236078252,4.761030435562134,5,500,5000,5.205965757369995,4.8,2.4,2.4,10,100,10.409688711166382
5,4.46,2.23,2.23,100,1000,109.10747243571151,1091.074724357115,5.677557945251465,6,600,6000,5.74481463432312,2.0,1.0,1.0,10,100,11.963149070739746
6,3.2,1.6,1.6,100,1000,114.89081370164027,1148.9081370164026,6.547949552536011,7,700,7000,6.3523900508880615,5.8,2.9,2.9,10,100,13.54309868812561
7,3.0,1.5,1.5,100,1000,118.46067639137429,1184.606763913743,7.392111539840698,8,800,8000,7.20798659324646,1.6,0.8,0.8,10,100,15.339934349060059
8,3.66,1.83,1.83,100,1000,112.6403740012418,1126.403740012418,8.279892683029175,9,900,9000,7.9519782066345215,4.0,2.0,2.0,10,100,17.06699776649475
9,4.7,2.35,2.35,100,1000,113.98163001483502,1139.8163001483501,9.157227039337158,10,1000,10000,8.625045776367188,2.0,1.0,1.0,10,100,18.714117288589478
10,4.6,2.3,2.3,100,1000,117.51983318660763,1175.1983318660764,10.008147239685059,11,1100,11000,9.388103246688843,3.0,1.5,1.5,10,100,20.421443700790405
11,4.3,2.15,2.15,100,1000,118.86861379031045,1188.6861379031045,10.849412202835083,12,1200,12000,10.122719764709473,1.0,0.5,0.5,10,100,22.094339609146118
12,2.28,1.14,1.14,100,1000,114.54038607744269,1145.403860774427,11.722466707229614,13,1300,13000,10.762967586517334,5.2,2.6,2.6,10,100,23.701777696609497
13,4.26,2.13,2.13,100,1000,118.48664480538412,1184.8664480538412,12.566443681716919,14,1400,14000,11.188434839248657,3.8,1.9,1.9,10,100,25.06686544418335
14,2.96,1.48,1.48,100,1000,111.33528151530298,1113.3528151530297,13.4646315574646,15,1500,15000,11.578833818435669,2.4,1.2,1.2,10,100,26.454735040664673
15,3.14,1.57,1.57,100,1000,109.16045971076397,1091.6045971076396,14.380714178085327,16,1600,16000,11.948561191558838,9.8,4.9,4.9,10,100,27.83898401260376
16,5.22,2.61,2.61,100,1000,108.07318245239289,1080.731824523929,15.306013107299805,17,1700,17000,12.339371681213379,2.8,1.4,1.4,10,100,29.250051259994507
17,3.5,1.75,1.75,100,1000,109.17591692403401,1091.75916924034,16.2219660282135,18,1800,18000,12.723670482635498,2.0,1.0,1.0,10,100,30.647141218185425
18,5.7,2.85,2.85,100,1000,108.3578287636374,1083.578287636374,17.144834280014038,19,1900,19000,13.106804847717285,7.6,3.8,3.8,10,100,32.046282052993774
19,4.46,2.23,2.23,100,1000,110.1895338038511,1101.895338038511,18.052361488342285,20,2000,20000,13.490743160247803,7.4,3.7,3.7,10,100,33.436772108078
20,4.58,2.29,2.29,100,1000,97.94073170481113,979.4073170481113,19.073387145996094,21,2100,21000,13.898589134216309,6.6,3.3,3.3,10,100,34.958778619766235
21,5.86,2.93,2.93,100,1000,110.1159678108726,1101.159678108726,19.981520652770996,22,2200,22000,14.303326845169067,7.4,3.7,3.7,10,100,36.36695218086243
22,5.0,2.5,2.5,100,1000,105.46757170093234,1054.6757170093235,20.92967939376831,23,2300,23000,14.73931884765625,3.6,1.8,1.8,10,100,37.84524989128113
23,5.02,2.51,2.51,100,1000,106.92766615288681,1069.276661528868,21.864891052246094,24,2400,24000,15.193204641342163,5.0,2.5,2.5,10,100,39.33151817321777
24,5.1,2.55,2.55,100,1000,110.8182651408286,1108.1826514082861,22.767269372940063,25,2500,25000,15.654738903045654,4.2,2.1,2.1,10,100,40.79865026473999
25,5.9,2.95,2.95,100,1000,107.4355151869099,1074.355151869099,23.698060274124146,26,2600,26000,16.21319079399109,7.4,3.7,3.7,10,100,42.38563013076782
26,3.86,1.93,1.93,100,1000,111.41081180295262,1114.1081180295262,24.5956392288208,27,2700,27000,16.801301956176758,7.2,3.6,3.6,10,100,43.97013545036316
27,5.56,2.78,2.78,100,1000,115.0540967426744,1150.5409674267441,25.46479558944702,28,2800,28000,17.284162044525146,4.4,2.2,2.2,10,100,45.42280840873718
28,6.2,3.1,3.1,100,1000,110.9292281033138,1109.2922810331381,26.366271257400513,29,2900,29000,17.701924085617065,4.0,2.0,2.0,10,100,46.84129786491394
29,5.2,2.6,2.6,100,1000,110.89579274301248,1108.9579274301248,27.26801872253418,30,3000,30000,18.11789321899414,6.0,3.0,3.0,10,100,48.25421214103699
30,4.18,2.09,2.09,100,1000,108.53180871943559,1085.318087194356,28.18940758705139,31,3100,31000,18.522793769836426,5.4,2.7,2.7,10,100,49.67527365684509
31,5.4,2.7,2.7,100,1000,107.20279514734204,1072.0279514734204,29.12221908569336,32,3200,32000,18.915592670440674,5.4,2.7,2.7,10,100,51.092225790023804
32,5.4,2.7,2.7,100,1000,108.66187956918714,1086.6187956918714,30.042505025863647,33,3300,33000,19.32588028907776,8.0,4.0,4.0,10,100,52.51905131340027
33,5.26,2.63,2.63,100,1000,108.2018207235582,1082.018207235582,30.96670389175415,34,3400,34000,19.738834857940674,4.8,2.4,2.4,10,100,53.95183062553406
34,5.2,2.6,2.6,100,1000,103.39788042312651,1033.978804231265,31.933841705322266,35,3500,35000,20.217204093933105,11.4,5.7,5.7,10,100,55.493590354919434
35,5.34,2.67,2.67,100,1000,109.55043956735675,1095.5043956735676,32.84666323661804,36,3600,36000,20.66400980949402,6.6,3.3,3.3,10,100,56.949989318847656
36,6.52,3.26,3.26,100,1000,108.16543418414385,1081.6543418414385,33.77117300033569,37,3700,37000,21.130541563034058,8.6,4.3,4.3,10,100,58.424694299697876
37,5.2,2.6,2.6,100,1000,111.56069656280181,1115.606965628018,34.66754603385925,38,3800,38000,21.588587045669556,6.4,3.2,3.2,10,100,59.86514091491699
38,4.78,2.39,2.39,100,1000,110.56467195461747,1105.6467195461746,35.5719940662384,39,3900,39000,22.04330348968506,5.8,2.9,2.9,10,100,61.315579414367676
39,5.2,2.6,2.6,100,1000,110.5939710351283,1105.939710351283,36.47620248794556,40,4000,40000,22.530252933502197,8.4,4.2,4.2,10,100,62.804967164993286
