,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
16,140.7768479481936,1126.2147835855487,11.094824075698853,17,1700,13600,26.12080979347229,6.0,3.0,3.0,10,80,38.42167091369629
17,138.05231322898862,1104.418505831909,11.81918716430664,18,1800,14400,27.63142967224121,6.0,3.0,3.0,10,80,40.70918655395508
18,154.432525536222,1235.460204289776,12.466719150543213,19,1900,15200,29.090970039367676,0.0,0.0,0.0,10,80,42.88916206359863
19,152.21449874107338,1217.715989928587,13.123686790466309,20,2000,16000,30.65522289276123,10.0,5.0,5.0,10,80,45.22197914123535
20,144.49355475922587,1155.948438073807,14.507831573486328,21,2200,17600,31.573249578475952,12.0,6.0,6.0,10,80,47.61017203330994
21,148.32783450868905,1186.6226760695124,15.856196165084839,22,2400,19200,32.662795066833496,10.0,5.0,5.0,10,80,50.11142182350159
22,146.11710782253388,1168.936862580271,17.224961280822754,23,2600,20800,33.571321964263916,2.0,1.0,1.0,10,80,52.45901298522949
23,150.0316388570235,1200.253110856188,18.558013439178467,24,2800,22400,34.379554271698,6.0,3.0,3.0,10,80,54.653393268585205
24,192.66926817168095,1541.3541453734476,19.59606170654297,25,3000,24000,35.21643090248108,8.0,4.0,4.0,10,80,56.62100601196289
25,168.41432381671314,1347.314590533705,20.78360915184021,26,3200,25600,36.04346776008606,6.0,3.0,3.0,10,80,58.72699737548828
26,167.3567136939262,1338.8537095514096,21.97866129875183,27,3400,27200,36.87137508392334,8.0,4.0,4.0,10,80,60.82452583312988
27,149.12943027015572,1193.0354421612458,23.319778203964233,28,3600,28800,37.77805185317993,4.0,2.0,2.0,10,80,63.135204553604126
28,208.0312391270761,1664.2499130166088,24.281172275543213,29,3800,30400,38.58233618736267,0.0,0.0,0.0,10,80,64.9824287891388
29,197.46189930078884,1579.6951944063107,25.294025897979736,30,4000,32000,39.40248966217041,6.0,3.0,3.0,10,80,66.8744249343872
30,194.21679672939283,1553.7343738351426,26.323802947998047,31,4200,33600,40.19171977043152,6.0,3.0,3.0,10,80,68.74692440032959
31,187.1150678722535,1496.920542978028,27.392663955688477,32,4400,35200,40.97341346740723,8.0,4.0,4.0,10,80,70.66614413261414
32,192.26353505483974,1538.1082804387179,28.432902812957764,33,4600,36800,41.76930856704712,10.0,5.0,5.0,10,80,72.56779456138611
33,186.20653220575707,1489.6522576460566,29.50697898864746,34,4800,38400,42.55597162246704,10.0,5.0,5.0,10,80,74.48366928100586
