,sampling/mean_reward,sampling/0/mean_reward,sampling/1/mean_reward,sampling/episodes,sampling/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
0,0.0,0.0,0.0,100,1000,107.73304894280801,1077.3304894280802,0.928220272064209,1,100,1000,13.334053039550781,0.0,0.0,0.0,10,100,14.330348253250122
1,0.02,0.01,0.01,100,1000,140.2541780610747,1402.5417806107469,1.6412115097045898,2,200,2000,26.384254455566406,0.0,0.0,0.0,10,100,28.166261434555054
2,0.02,0.01,0.01,100,1000,124.95595279307257,1249.5595279307256,2.441493511199951,3,300,3000,38.70296287536621,10.0,5.0,5.0,10,100,41.38863015174866
3,10.0,5.0,5.0,100,1000,125.031680445288,1250.31680445288,3.241290807723999,4,400,4000,51.33428478240967,12.0,6.0,6.0,10,100,54.90199398994446
4,11.96,5.98,5.98,100,1000,128.00074219180348,1280.0074219180349,4.022536277770996,5,500,5000,63.346054553985596,14.0,7.0,7.0,10,100,67.7665786743164
5,13.96,6.98,6.98,100,1000,135.678935867721,1356.78935867721,4.759570360183716,6,600,6000,76.15247988700867,18.0,9.0,9.0,10,100,81.39205503463745
6,17.76,8.88,8.88,100,1000,137.780488950602,1377.8048895060201,5.485362529754639,7,700,7000,89.2030029296875,20.0,10.0,10.0,10,100,95.2425172328949
7,19.6,9.8,9.8,100,1000,139.24646364848428,1392.4646364848427,6.2035136222839355,8,800,8000,101.52633357048035,18.0,9.0,9.0,10,100,108.3600423336029
8,17.86,8.93,8.93,100,1000,134.2783143754462,1342.7831437544621,6.948235511779785,9,900,9000,113.3904128074646,20.0,10.0,10.0,10,100,121.0415940284729
9,19.42,9.71,9.71,100,1000,131.9458941501935,1319.458941501935,7.706121921539307,10,1000,10000,125.43078470230103,18.0,9.0,9.0,10,100,133.92074990272522
10,17.68,8.84,8.84,100,1000,135.40723178462449,1354.072317846245,8.444634914398193,11,1100,11000,137.39890813827515,20.0,10.0,10.0,10,100,146.76485776901245
11,19.66,9.83,9.83,100,1000,136.30261276485118,1363.0261276485116,9.178296566009521,12,1200,12000,148.50833821296692,20.0,10.0,10.0,10,100,158.6867697238922
12,19.62,9.81,9.81,100,1000,138.81993076717112,1388.199307671711,9.898654222488403,13,1300,13000,160.610755443573,18.0,9.0,9.0,10,100,171.6298544406891
13,17.68,8.84,8.84,100,1000,127.31984439813557,1273.1984439813557,10.684077739715576,14,1400,14000,172.91666650772095,20.0,10.0,10.0,10,100,184.79211258888245
14,19.58,9.79,9.79,100,1000,133.23160098217036,1332.3160098217036,11.434650421142578,15,1500,15000,184.45854330062866,20.0,10.0,10.0,10,100,197.16866827011108
15,19.4,9.7,9.7,100,1000,127.91396411837253,1279.1396411837252,12.216425895690918,16,1600,16000,195.75161719322205,12.0,6.0,6.0,10,100,209.31901121139526
16,12.0,6.0,6.0,100,1000,131.9379665976407,1319.379665976407,12.974357843399048,17,1700,17000,207.40019273757935,20.0,10.0,10.0,10,100,221.7967665195465
17,19.42,9.71,9.71,100,1000,141.87848518316187,1418.7848518316187,13.679186344146729,18,1800,18000,219.65128898620605,18.0,9.0,9.0,10,100,234.82559823989868
18,17.58,8.79,8.79,100,1000,132.6220198570796,1326.2201985707961,14.43320894241333,19,1900,19000,232.53398442268372,18.0,9.0,9.0,10,100,248.5462908744812
19,17.78,8.89,8.89,100,1000,126.39422859605295,1263.9422859605295,15.224384307861328,20,2000,20000,244.06674027442932,20.0,10.0,10.0,10,100,260.95855021476746
20,19.34,9.67,9.67,100,1000,128.98105585821847,1289.8105585821845,15.9996919631958,21,2100,21000,256.4309322834015,20.0,10.0,10.0,10,100,274.17056703567505
21,19.04,9.52,9.52,100,1000,136.3666038528414,1363.6660385284138,16.733009338378906,22,2200,22000,268.87352418899536,20.0,10.0,10.0,10,100,287.4253451824188
22,19.64,9.82,9.82,100,1000,131.6612664556807,1316.612664556807,17.492534160614014,23,2300,23000,280.5236556529999,12.0,6.0,6.0,10,100,299.90950655937195
23,12.24,6.12,6.12,100,1000,127.627532320684,1276.2753232068399,18.276064157485962,24,2400,24000,292.6799464225769,18.0,9.0,9.0,10,100,312.9225797653198
24,17.76,8.88,8.88,100,1000,121.06492465885488,1210.6492465885487,19.102067232131958,25,2500,25000,304.8234348297119,20.0,10.0,10.0,10,100,325.994117975235
25,19.54,9.77,9.77,100,1000,138.07985467440832,1380.7985467440833,19.82628583908081,26,2600,26000,317.7905173301697,20.0,10.0,10.0,10,100,339.75984168052673
26,19.44,9.72,9.72,100,1000,134.92772850159366,1349.2772850159367,20.567423343658447,27,2700,27000,330.0459313392639,18.0,9.0,9.0,10,100,352.83066964149475
27,17.8,8.9,8.9,100,1000,129.31612943008216,1293.1612943008217,21.34072208404541,28,2800,28000,341.7619299888611,18.0,9.0,9.0,10,100,365.42270064353943
28,17.86,8.93,8.93,100,1000,139.62359620879838,1396.2359620879838,22.056933403015137,29,2900,29000,353.9261655807495,18.0,9.0,9.0,10,100,378.3962461948395
29,17.82,8.91,8.91,100,1000,119.09813412249295,1190.9813412249296,22.89657711982727,30,3000,30000,364.86872029304504,20.0,10.0,10.0,10,100,390.2525563240051
30,19.66,9.83,9.83,100,1000,129.31333859510656,1293.1333859510655,23.66989254951477,31,3100,31000,377.11026215553284,18.0,9.0,9.0,10,100,403.3721089363098
31,17.84,8.92,8.92,100,1000,137.55492041315958,1375.5492041315958,24.39687490463257,32,3200,32000,389.6452875137329,20.0,10.0,10.0,10,100,416.72450709342957
32,19.48,9.74,9.74,100,1000,133.90347261818184,1339.0347261818183,25.143681526184082,33,3300,33000,400.5955719947815,20.0,10.0,10.0,10,100,428.49524116516113
33,19.5,9.75,9.75,100,1000,139.2553862928049,1392.553862928049,25.861786603927612,34,3400,34000,412.1382620334625,20.0,10.0,10.0,10,100,440.843825340271
34,19.64,9.82,9.82,100,1000,137.0963118404516,1370.9631184045159,26.591200828552246,35,3500,35000,424.1907515525818,20.0,10.0,10.0,10,100,453.7249186038971
35,19.62,9.81,9.81,100,1000,134.72000729760782,1347.2000729760782,27.333481073379517,36,3600,36000,436.4285080432892,18.0,9.0,9.0,10,100,466.8040180206299
36,17.78,8.89,8.89,100,1000,135.73228310783043,1357.3228310783043,28.070225477218628,37,3700,37000,448.73462533950806,20.0,10.0,10.0,10,100,479.9321553707123
37,19.32,9.66,9.66,100,1000,143.2982516078887,1432.9825160788869,28.768070697784424,38,3800,38000,460.5850737094879,20.0,10.0,10.0,10,100,492.6198217868805
38,19.58,9.79,9.79,100,1000,132.20574690833075,1322.0574690833075,29.52446746826172,39,3900,39000,472.68291783332825,18.0,9.0,9.0,10,100,505.55987882614136
39,17.8,8.9,8.9,100,1000,135.15873555503066,1351.5873555503065,30.26433825492859,40,4000,40000,486.0220539569855,18.0,9.0,9.0,10,100,519.7136890888214
40,17.56,8.78,8.78,100,1000,131.7204763702302,1317.204763702302,31.023521661758423,41,4100,41000,497.5034303665161,20.0,10.0,10.0,10,100,532.0313060283661
41,19.44,9.72,9.72,100,1000,139.58493630276487,1395.8493630276487,31.739931344985962,42,4200,42000,509.69173979759216,20.0,10.0,10.0,10,100,545.0323877334595
42,19.78,9.89,9.89,100,1000,140.66679410945994,1406.6679410945994,32.450831174850464,43,4300,43000,521.2126622200012,20.0,10.0,10.0,10,100,557.3393466472626
43,19.68,9.84,9.84,100,1000,135.93745644904206,1359.3745644904207,33.186463594436646,44,4400,44000,533.8535852432251,20.0,10.0,10.0,10,100,570.7904314994812
44,19.48,9.74,9.74,100,1000,124.14858271014414,1241.4858271014414,33.991950035095215,45,4500,45000,546.9149172306061,20.0,10.0,10.0,10,100,584.7299842834473
45,19.68,9.84,9.84,100,1000,126.4968844030754,1264.9688440307539,34.78248333930969,46,4600,46000,558.0653245449066,20.0,10.0,10.0,10,100,596.7757494449615
46,19.68,9.84,9.84,100,1000,131.63097918002418,1316.3097918002418,35.54218292236328,47,4700,47000,570.5454504489899,18.0,9.0,9.0,10,100,610.0913956165314
47,17.88,8.94,8.94,100,1000,136.60176761730568,1366.0176761730568,36.274237871170044,48,4800,48000,583.2803246974945,18.0,9.0,9.0,10,100,623.6324543952942
48,17.98,8.99,8.99,100,1000,135.34771903669355,1353.4771903669355,37.01307559013367,49,4900,49000,595.7394642829895,18.0,9.0,9.0,10,100,636.910835981369
49,17.88,8.94,8.94,100,1000,135.9963866621662,1359.963866621662,37.74838924407959,50,5000,50000,606.8817842006683,18.0,9.0,9.0,10,100,648.8631043434143
50,17.86,8.93,8.93,100,1000,136.86721448742472,1368.6721448742474,38.4790244102478,51,5100,51000,618.7301208972931,18.0,9.0,9.0,10,100,661.526730298996
51,17.98,8.99,8.99,100,1000,131.72316523463962,1317.2316523463962,39.238192319869995,52,5200,52000,630.8155410289764,20.0,10.0,10.0,10,100,674.4528193473816
52,19.74,9.87,9.87,100,1000,130.3563841871824,1303.5638418718243,40.00532007217407,53,5300,53000,643.4706606864929,20.0,10.0,10.0,10,100,687.9940898418427
53,19.46,9.73,9.73,100,1000,129.6644919399914,1296.644919399914,40.776541233062744,54,5400,54000,655.1487860679626,20.0,10.0,10.0,10,100,700.5156896114349
54,19.46,9.73,9.73,100,1000,137.21943048576213,1372.1943048576215,41.505300998687744,55,5500,55000,667.6878011226654,20.0,10.0,10.0,10,100,713.8850591182709
55,19.54,9.77,9.77,100,1000,118.23193767367756,1182.3193767367757,42.35109615325928,56,5600,56000,679.8410069942474,18.0,9.0,9.0,10,100,726.9923663139343
56,17.9,8.95,8.95,100,1000,136.5156023029561,1365.1560230295609,43.08361315727234,57,5700,57000,692.2369182109833,16.0,8.0,8.0,10,100,740.205991268158
57,16.18,8.09,8.09,100,1000,141.18803442395486,1411.8803442395485,43.79188847541809,58,5800,58000,704.1772465705872,20.0,10.0,10.0,10,100,752.9288821220398
58,19.52,9.76,9.76,100,1000,131.4126462188705,1314.1264621887049,44.55285024642944,59,5900,59000,715.2114808559418,20.0,10.0,10.0,10,100,764.7974600791931
59,19.46,9.73,9.73,100,1000,138.37668920980892,1383.7668920980893,45.27551531791687,60,6000,60000,727.3828430175781,20.0,10.0,10.0,10,100,777.7797176837921
60,19.56,9.78,9.78,100,1000,138.13451561409582,1381.3451561409581,45.99944734573364,61,6100,61000,739.4577343463898,20.0,10.0,10.0,10,100,790.6516692638397
61,19.62,9.81,9.81,100,1000,135.31754570991558,1353.1754570991557,46.738449811935425,62,6200,62000,751.9927952289581,20.0,10.0,10.0,10,100,804.015566110611
62,19.54,9.77,9.77,100,1000,127.85442356740418,1278.5442356740418,47.52058935165405,63,6300,63000,764.2240931987762,18.0,9.0,9.0,10,100,817.1003742218018
63,17.88,8.94,8.94,100,1000,137.0536643513443,1370.536643513443,48.25023055076599,64,6400,64000,775.507166147232,20.0,10.0,10.0,10,100,829.1872732639313
64,19.64,9.82,9.82,100,1000,132.52002980062773,1325.2002980062773,49.004833459854126,65,6500,65000,787.2244493961334,20.0,10.0,10.0,10,100,841.7552087306976
65,19.72,9.86,9.86,100,1000,132.11504830637887,1321.1504830637887,49.761749505996704,66,6600,66000,798.6238625049591,20.0,10.0,10.0,10,100,853.9858672618866
66,19.6,9.8,9.8,100,1000,137.9005780620488,1379.005780620488,50.48690962791443,67,6700,67000,810.9215571880341,20.0,10.0,10.0,10,100,867.081045627594
67,19.52,9.76,9.76,100,1000,140.42768749370146,1404.2768749370148,51.19901990890503,68,6800,68000,822.9431779384613,20.0,10.0,10.0,10,100,879.8956334590912
68,19.6,9.8,9.8,100,1000,134.72385859195828,1347.2385859195826,51.94127893447876,69,6900,69000,834.7160274982452,20.0,10.0,10.0,10,100,892.4831483364105
69,19.64,9.82,9.82,100,1000,137.98650370042847,1379.8650370042847,52.665987491607666,70,7000,70000,846.1011621952057,20.0,10.0,10.0,10,100,904.6730842590332
70,19.58,9.79,9.79,100,1000,135.37502198797077,1353.7502198797076,53.40467619895935,71,7100,71000,857.4860241413116,20.0,10.0,10.0,10,100,916.8967216014862
71,19.68,9.84,9.84,100,1000,131.95618893850607,1319.5618893850608,54.162503480911255,72,7200,72000,868.5373339653015,20.0,10.0,10.0,10,100,928.8142793178558
72,19.76,9.88,9.88,100,1000,130.39172193820053,1303.9172193820054,54.929423332214355,73,7300,73000,879.0321269035339,18.0,9.0,9.0,10,100,940.1541333198547
73,17.94,8.97,8.97,100,1000,131.57234495806082,1315.7234495806083,55.68946146965027,74,7400,74000,890.4825797080994,20.0,10.0,10.0,10,100,952.4387612342834
74,19.7,9.85,9.85,100,1000,134.19836049261372,1341.983604926137,56.434627056121826,75,7500,75000,901.4515132904053,20.0,10.0,10.0,10,100,964.2288146018982
