,sampling/learner/mean_reward,sampling/learner/learner/mean_reward,sampling/learner/partner/mean_reward,sampling/learner/episodes,sampling/learner/samples,sampling/partner/mean_reward,sampling/partner/response/mean_reward,sampling/partner/partner/mean_reward,sampling/partner/episodes,sampling/partner/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/learner/mean_reward,eval/learner/learner/mean_reward,eval/learner/partner/mean_reward,eval/learner/episodes,eval/learner/samples,eval/partner/mean_reward,eval/partner/response/mean_reward,eval/partner/partner/mean_reward,eval/partner/episodes,eval/partner/samples,total_time_s
0,0.04,0.02,0.02,100,1000,0.0,0.0,0.0,100,1000,174.32608876810804,1743.2608876810802,1.1472752094268799,1,200,2000,4.125591516494751,0.0,0.0,0.0,10,100,0.0,0.0,0.0,10,100,5.393279790878296
1,0.02,0.01,0.01,100,1000,0.08,0.04,0.04,100,1000,183.31579998610152,1833.1579998610152,2.238288640975952,2,400,4000,7.328587532043457,0.0,0.0,0.0,10,100,0.0,0.0,0.0,10,100,9.775347709655762
2,0.08,0.04,0.04,100,1000,0.1,0.05,0.05,100,1000,198.35332328869998,1983.5332328869997,3.2465903759002686,3,600,6000,10.584165811538696,0.0,0.0,0.0,10,100,2.0,1.0,1.0,10,100,14.139539003372192
3,0.02,0.01,0.01,100,1000,2.36,1.18,1.18,100,1000,212.35030806029724,2123.5030806029727,4.188430309295654,4,800,8000,13.154662132263184,0.0,0.0,0.0,10,100,2.0,1.0,1.0,10,100,17.756680727005005
4,0.06,0.03,0.03,100,1000,1.98,0.99,0.99,100,1000,210.78196753770834,2107.8196753770835,5.137278079986572,5,1000,10000,15.869313478469849,2.0,1.0,1.0,10,100,20.0,10.0,10.0,10,100,21.548784255981445
5,1.94,0.97,0.97,100,1000,19.56,9.78,9.78,100,1000,190.9413674034721,1909.4136740347212,6.184720039367676,6,1200,12000,18.02193570137024,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,24.888908624649048
6,0.02,0.01,0.01,100,1000,19.54,9.77,9.77,100,1000,216.2263149076568,2162.263149076568,7.109676837921143,7,1400,14000,20.737432956695557,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,28.661518573760986
7,0.08,0.04,0.04,100,1000,19.68,9.84,9.84,100,1000,167.53797541796078,1675.3797541796077,8.303436040878296,8,1600,16000,23.0359308719635,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,32.30278944969177
8,0.08,0.04,0.04,100,1000,19.5,9.75,9.75,100,1000,171.75692055692056,1717.5692055692057,9.467872381210327,9,1800,18000,25.088889360427856,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,35.62079882621765
9,0.06,0.03,0.03,100,1000,19.26,9.63,9.63,100,1000,229.29492274840942,2292.949227484094,10.340111494064331,10,2000,20000,27.439115524291992,2.0,1.0,1.0,10,100,20.0,10.0,10.0,10,100,38.966591358184814
10,1.98,0.99,0.99,100,1000,19.38,9.69,9.69,100,1000,207.5013165780991,2075.013165780991,11.303960800170898,11,2200,22000,29.692751169204712,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,42.27747058868408
11,0.04,0.02,0.02,100,1000,19.4,9.7,9.7,100,1000,219.43008291857478,2194.3008291857477,12.215412855148315,12,2400,24000,31.149292945861816,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,44.73898506164551
12,0.08,0.04,0.04,100,1000,19.4,9.7,9.7,100,1000,218.8975128698651,2188.975128698651,13.129082441329956,13,2600,26000,33.65634226799011,2.0,1.0,1.0,10,100,20.0,10.0,10.0,10,100,48.263254165649414
13,2.12,1.06,1.06,100,1000,19.66,9.83,9.83,100,1000,222.4091464302181,2224.091464302181,14.028326034545898,14,2800,28000,35.791929960250854,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,51.392497301101685
14,0.12,0.06,0.06,100,1000,19.6,9.8,9.8,100,1000,229.49503261887162,2294.950326188716,14.899804592132568,15,3000,30000,37.67959213256836,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,54.27601385116577
15,0.1,0.05,0.05,100,1000,19.62,9.81,9.81,100,1000,233.75562158521527,2337.556215852153,15.755398988723755,16,3200,32000,39.743181228637695,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,57.28239965438843
16,0.12,0.06,0.06,100,1000,19.6,9.8,9.8,100,1000,215.89897854344125,2158.9897854344126,16.681758165359497,17,3400,34000,41.738810300827026,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,60.31189298629761
17,0.06,0.03,0.03,100,1000,19.74,9.87,9.87,100,1000,209.01682254168261,2090.168225416826,17.63861894607544,18,3600,36000,43.91235423088074,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,63.54797983169556
18,0.04,0.02,0.02,100,1000,19.76,9.88,9.88,100,1000,220.68785533944083,2206.8785533944083,18.54487633705139,19,3800,38000,45.74036955833435,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,66.38312268257141
19,0.02,0.01,0.01,100,1000,19.66,9.83,9.83,100,1000,217.4799406925306,2174.799406925306,19.46450138092041,20,4000,40000,48.37451720237732,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,70.03192734718323
20,0.06,0.03,0.03,100,1000,19.56,9.78,9.78,100,1000,201.43443193748206,2014.3443193748205,20.457380294799805,21,4200,42000,51.15417528152466,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,73.91450667381287
21,0.06,0.03,0.03,100,1000,19.64,9.82,9.82,100,1000,195.43842318624482,1954.3842318624481,21.48072052001953,22,4400,44000,53.99985599517822,6.0,3.0,3.0,10,100,20.0,10.0,10.0,10,100,77.85693287849426
22,5.54,2.77,2.77,100,1000,19.64,9.82,9.82,100,1000,217.4673116242993,2174.673116242993,22.40039896965027,23,4600,46000,56.340740442276,6.0,3.0,3.0,10,100,20.0,10.0,10.0,10,100,81.21795082092285
23,5.84,2.92,2.92,100,1000,19.36,9.68,9.68,100,1000,204.5985483531474,2045.985483531474,23.377923011779785,24,4800,48000,58.31747388839722,8.0,4.0,4.0,10,100,20.0,10.0,10.0,10,100,84.2698860168457
24,7.52,3.76,3.76,100,1000,19.32,9.66,9.66,100,1000,227.72413714471244,2277.2413714471245,24.256178617477417,25,5000,50000,60.66132664680481,6.0,3.0,3.0,10,100,20.0,10.0,10.0,10,100,87.59498047828674
25,6.02,3.01,3.01,100,1000,19.62,9.81,9.81,100,1000,206.3905577012691,2063.905577012691,25.225215196609497,26,5200,52000,62.879594564437866,6.0,3.0,3.0,10,100,20.0,10.0,10.0,10,100,90.86964678764343
26,5.98,2.99,2.99,100,1000,19.5,9.75,9.75,100,1000,209.7676419104776,2097.6764191047764,26.178651094436646,27,5400,54000,65.48715877532959,8.0,4.0,4.0,10,100,20.0,10.0,10.0,10,100,94.52067732810974
27,8.04,4.02,4.02,100,1000,19.58,9.79,9.79,100,1000,226.39526752675158,2263.952675267516,27.06206178665161,28,5600,56000,68.21551537513733,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,98.25219988822937
28,19.3,9.65,9.65,100,1000,19.54,9.77,9.77,100,1000,209.30741682517035,2093.0741682517037,28.0175940990448,29,5800,58000,70.24361968040466,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,101.33344101905823
29,19.68,9.84,9.84,100,1000,19.56,9.78,9.78,100,1000,200.09121284460042,2000.912128446004,29.017138242721558,30,6000,60000,72.94810128211975,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,105.12624287605286
30,19.62,9.81,9.81,100,1000,19.66,9.83,9.83,100,1000,213.22726630328134,2132.2726630328134,29.95510458946228,31,6200,62000,75.18374562263489,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,108.4005229473114
