,sampling/mean_reward,sampling/0/mean_reward,sampling/1/mean_reward,sampling/episodes,sampling/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
0,19.68,9.84,9.84,100,1000,102.18599817082293,1021.8599817082292,0.9786076545715332,1,100,1000,13.707773923873901,20.0,10.0,10.0,10,100,14.77750825881958
1,19.76,9.88,9.88,100,1000,120.36490248538091,1203.6490248538091,1.8094146251678467,2,200,2000,26.853569984436035,20.0,10.0,10.0,10,100,28.82524275779724
2,19.56,9.78,9.78,100,1000,132.35865016584657,1323.5865016584655,2.5649375915527344,3,300,3000,39.01368999481201,20.0,10.0,10.0,10,100,41.82735729217529
3,19.64,9.82,9.82,100,1000,111.68439223889675,1116.8439223889675,3.460317850112915,4,400,4000,51.2429404258728,20.0,10.0,10.0,10,100,55.04791879653931
4,19.72,9.86,9.86,100,1000,129.43045777228494,1294.3045777228494,4.232933521270752,5,500,5000,64.11922788619995,20.0,10.0,10.0,10,100,68.76898121833801
5,19.62,9.81,9.81,100,1000,132.72559500679085,1327.2559500679085,4.986367702484131,6,600,6000,76.88232707977295,20.0,10.0,10.0,10,100,82.366459608078
6,19.44,9.72,9.72,100,1000,139.22654207779058,1392.265420777906,5.7046215534210205,7,700,7000,89.22060775756836,18.0,9.0,9.0,10,100,95.49699854850769
7,17.82,8.91,8.91,100,1000,122.36343273110032,1223.6343273110033,6.521859169006348,8,800,8000,100.90553903579712,18.0,9.0,9.0,10,100,108.0732307434082
8,17.88,8.94,8.94,100,1000,128.18883285406085,1281.8883285406084,7.301958322525024,9,900,9000,112.81516861915588,20.0,10.0,10.0,10,100,120.86883068084717
9,19.74,9.87,9.87,100,1000,135.96539454984907,1359.6539454984907,8.037439584732056,10,1000,10000,124.5535340309143,18.0,9.0,9.0,10,100,133.41555547714233
10,17.9,8.95,8.95,100,1000,129.89406380080143,1298.9406380080143,8.807297706604004,11,1100,11000,135.90050625801086,18.0,9.0,9.0,10,100,145.6039435863495
11,17.78,8.89,8.89,100,1000,131.92215584306112,1319.2215584306114,9.565320491790771,12,1200,12000,147.27679753303528,20.0,10.0,10.0,10,100,157.81765151023865
12,19.78,9.89,9.89,100,1000,140.61911510251812,1406.1911510251812,10.276461362838745,13,1300,13000,159.22801542282104,18.0,9.0,9.0,10,100,170.62069082260132
13,17.72,8.86,8.86,100,1000,118.87885580733838,1188.788558073384,11.117653846740723,14,1400,14000,171.07393264770508,18.0,9.0,9.0,10,100,183.4148359298706
