,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
0,163.3827834918221,1307.0622679345768,0.6120595932006836,1,100,800,1.6646814346313477,0.0,0.0,0.0,10,80,2.3493189811706543
1,170.1211244377872,1360.9689955022975,1.199876070022583,2,200,1600,3.2201168537139893,0.0,0.0,0.0,10,80,4.577658414840698
2,156.1339945033203,1249.0719560265625,1.8403515815734863,3,300,2400,4.708407402038574,6.0,3.0,3.0,10,80,6.762683153152466
3,167.52743592160573,1340.2194873728458,2.4372687339782715,4,400,3200,6.200790882110596,8.0,4.0,4.0,10,80,8.904752969741821
4,178.22922509475976,1425.833800758078,2.9983439445495605,5,500,4000,7.881450414657593,8.0,4.0,4.0,10,80,11.216089725494385
5,148.89691499717065,1191.1753199773652,3.669949531555176,6,600,4800,9.47494387626648,12.0,6.0,6.0,10,80,13.538426637649536
6,146.34558571848765,1170.7646857479012,4.35326361656189,7,700,5600,11.068456172943115,12.0,6.0,6.0,10,80,15.9150230884552
7,163.6919738595762,1309.5357908766096,4.96416711807251,8,800,6400,12.532776594161987,14.0,7.0,7.0,10,80,18.044525861740112
8,178.65138627942648,1429.2110902354118,5.523916482925415,9,900,7200,14.098782777786255,12.0,6.0,6.0,10,80,20.23629403114319
9,170.27935319646474,1362.234825571718,6.111186742782593,10,1000,8000,15.595939874649048,12.0,6.0,6.0,10,80,22.37487506866455
10,186.92960297496913,1495.436823799753,6.6461474895477295,11,1100,8800,17.323060989379883,16.0,8.0,8.0,10,80,24.690633535385132
11,185.01871667897387,1480.149733431791,7.186633348464966,12,1200,9600,18.732156991958618,14.0,7.0,7.0,10,80,26.707501888275146
12,199.4189029141862,1595.3512233134895,7.6880903244018555,13,1300,10400,20.26941442489624,16.0,8.0,8.0,10,80,28.804813385009766
13,154.17151863744897,1233.3721490995918,8.336718559265137,14,1400,11200,21.93389391899109,16.0,8.0,8.0,10,80,31.171815156936646
14,195.5205999632668,1564.1647997061343,8.84817361831665,15,1500,12000,23.350871562957764,16.0,8.0,8.0,10,80,33.153701066970825
15,201.93339377094594,1615.4671501675675,9.34338641166687,16,1600,12800,24.860484838485718,16.0,8.0,8.0,10,80,35.21358633041382
16,182.76352053544,1462.10816428352,9.890541553497314,17,1700,13600,26.306129932403564,16.0,8.0,8.0,10,80,37.25960326194763
17,190.25497035703108,1522.0397628562487,10.416152000427246,18,1800,14400,27.71167254447937,16.0,8.0,8.0,10,80,39.25741672515869
18,180.17907488144655,1441.4325990515724,10.971155405044556,19,1900,15200,29.16030740737915,16.0,8.0,8.0,10,80,41.31528425216675
