,sampling/learner/mean_reward,sampling/learner/learner/mean_reward,sampling/learner/partner/mean_reward,sampling/learner/episodes,sampling/learner/samples,sampling/partner/mean_reward,sampling/partner/response/mean_reward,sampling/partner/partner/mean_reward,sampling/partner/episodes,sampling/partner/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/learner/mean_reward,eval/learner/learner/mean_reward,eval/learner/partner/mean_reward,eval/learner/episodes,eval/learner/samples,eval/partner/mean_reward,eval/partner/response/mean_reward,eval/partner/partner/mean_reward,eval/partner/episodes,eval/partner/samples,total_time_s
0,0.08,0.04,0.04,100,1000,3.74,1.87,1.87,100,1000,175.6426730508751,1756.426730508751,1.1386754512786865,1,200,2000,4.034007549285889,0.0,0.0,0.0,10,100,0.0,0.0,0.0,10,100,5.320206165313721
1,0.1,0.05,0.05,100,1000,0.16,0.08,0.08,100,1000,179.5877787257,1795.8777872569997,2.2523369789123535,2,400,4000,7.205720901489258,0.0,0.0,0.0,10,100,4.0,2.0,2.0,10,100,9.701917171478271
2,0.2,0.1,0.1,100,1000,3.94,1.97,1.97,100,1000,199.5316056753446,1995.316056753446,3.2546844482421875,3,600,6000,10.349467754364014,0.0,0.0,0.0,10,100,6.0,3.0,3.0,10,100,13.939661502838135
3,0.06,0.03,0.03,100,1000,5.78,2.89,2.89,100,1000,209.06349681455484,2090.634968145548,4.211331605911255,4,800,8000,12.193410873413086,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,16.830010652542114
4,0.04,0.02,0.02,100,1000,19.24,9.62,9.62,100,1000,186.64320668413706,1866.4320668413707,5.282894849777222,5,1000,10000,14.028770923614502,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,19.828181743621826
5,0.02,0.01,0.01,100,1000,19.64,9.82,9.82,100,1000,192.21758516778064,1922.1758516778063,6.323382377624512,6,1200,12000,16.040596961975098,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,23.05673360824585
6,0.0,0.0,0.0,100,1000,19.68,9.84,9.84,100,1000,227.66597948440705,2276.6597948440703,7.201862335205078,7,1400,14000,18.16115665435791,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,26.164067029953003
7,0.0,0.0,0.0,100,1000,19.66,9.83,9.83,100,1000,227.56024701030077,2275.602470103008,8.080750465393066,8,1600,16000,20.87287950515747,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,29.859363555908203
8,0.02,0.01,0.01,100,1000,19.52,9.76,9.76,100,1000,187.58642650725213,1875.8642650725212,9.146925687789917,9,1800,18000,23.734666347503662,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,33.901732206344604
9,0.04,0.02,0.02,100,1000,19.46,9.73,9.73,100,1000,214.19503562125973,2141.9503562125974,10.08065414428711,10,2000,20000,25.816513061523438,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,37.02537274360657
