,sampling/mean_reward,sampling/0/mean_reward,sampling/1/mean_reward,sampling/episodes,sampling/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
0,0.02,0.01,0.01,100,1000,109.97155210160489,1099.7155210160488,0.9093260765075684,1,100,1000,13.845247030258179,0.0,0.0,0.0,10,100,14.829236030578613
1,0.06,0.03,0.03,100,1000,123.32129513845297,1233.2129513845296,1.7202160358428955,2,200,2000,26.83987283706665,0.0,0.0,0.0,10,100,28.72169256210327
2,0.06,0.03,0.03,100,1000,131.52151588099701,1315.2151588099703,2.4805479049682617,3,300,3000,38.76145005226135,0.0,0.0,0.0,10,100,41.48792290687561
3,0.32,0.16,0.16,100,1000,128.82231947523914,1288.2231947523912,3.2568109035491943,4,400,4000,50.67657923698425,16.0,8.0,8.0,10,100,54.29292297363281
4,15.42,7.71,7.71,100,1000,133.6926687604171,1336.9266876041709,4.004795074462891,5,500,5000,62.54619073867798,20.0,10.0,10.0,10,100,66.99592852592468
5,19.68,9.84,9.84,100,1000,137.12109720311543,1371.2109720311544,4.734077453613281,6,600,6000,74.88625288009644,20.0,10.0,10.0,10,100,80.13585805892944
6,19.56,9.78,9.78,100,1000,142.0193388283678,1420.1933882836781,5.438206911087036,7,700,7000,87.2093255519867,20.0,10.0,10.0,10,100,93.24172472953796
7,19.6,9.8,9.8,100,1000,133.83707394776073,1338.3707394776075,6.185384035110474,8,800,8000,99.55866312980652,20.0,10.0,10.0,10,100,106.41858506202698
8,19.74,9.87,9.87,100,1000,135.78650754185315,1357.8650754185314,6.921834230422974,9,900,9000,111.11552309989929,20.0,10.0,10.0,10,100,118.7894082069397
9,19.52,9.76,9.76,100,1000,138.57954695636084,1385.7954695636085,7.643441438674927,10,1000,10000,123.3622796535492,20.0,10.0,10.0,10,100,131.88517665863037
10,19.66,9.83,9.83,100,1000,137.29871107655796,1372.9871107655797,8.371780395507812,11,1100,11000,134.49528527259827,20.0,10.0,10.0,10,100,143.8361735343933
11,19.58,9.79,9.79,100,1000,123.02465007684818,1230.2465007684816,9.184625625610352,12,1200,12000,146.74025082588196,20.0,10.0,10.0,10,100,156.97829341888428
12,19.62,9.81,9.81,100,1000,119.40327740233283,1194.0327740233283,10.022123575210571,13,1300,13000,157.72833228111267,20.0,10.0,10.0,10,100,168.91962838172913
13,19.68,9.84,9.84,100,1000,139.159331526229,1391.59331526229,10.740724325180054,14,1400,14000,169.5714156627655,20.0,10.0,10.0,10,100,181.58253288269043
14,19.82,9.91,9.91,100,1000,133.3866332365603,1333.866332365603,11.490424633026123,15,1500,15000,181.610417842865,20.0,10.0,10.0,10,100,194.4456765651703
15,19.68,9.84,9.84,100,1000,137.20223891020774,1372.0223891020773,12.219275712966919,16,1600,16000,193.872385263443,20.0,10.0,10.0,10,100,207.5105423927307
16,19.52,9.76,9.76,100,1000,139.89318325312462,1398.931832531246,12.934106826782227,17,1700,17000,205.320170879364,20.0,10.0,10.0,10,100,219.74656534194946
17,19.66,9.83,9.83,100,1000,136.36877634963278,1363.6877634963278,13.667412519454956,18,1800,18000,217.31408500671387,18.0,9.0,9.0,10,100,232.54517936706543
18,17.84,8.92,8.92,100,1000,136.28658009164397,1362.8658009164396,14.401160478591919,19,1900,19000,228.38997745513916,20.0,10.0,10.0,10,100,244.42778849601746
19,19.62,9.81,9.81,100,1000,131.09162277728447,1310.9162277728446,15.16398572921753,20,2000,20000,241.02686643600464,20.0,10.0,10.0,10,100,257.9500720500946
20,19.56,9.78,9.78,100,1000,131.97844445381435,1319.7844445381436,15.921685218811035,21,2100,21000,252.8551046848297,18.0,9.0,9.0,10,100,270.6116247177124
21,17.74,8.87,8.87,100,1000,128.888864305289,1288.8886430528898,16.697547435760498,22,2200,22000,264.22912764549255,18.0,9.0,9.0,10,100,282.8358862400055
22,17.9,8.95,8.95,100,1000,129.68457765128383,1296.8457765128385,17.46864914894104,23,2300,23000,276.41962242126465,20.0,10.0,10.0,10,100,295.8718979358673
23,19.72,9.86,9.86,100,1000,135.3540523402065,1353.540523402065,18.207452297210693,24,2400,24000,288.4394905567169,20.0,10.0,10.0,10,100,308.7121171951294
24,19.64,9.82,9.82,100,1000,121.53239093157069,1215.323909315707,19.030278205871582,25,2500,25000,300.32880425453186,20.0,10.0,10.0,10,100,321.5149281024933
