,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
0,220.8917714035933,1767.1341712287465,0.4527103900909424,1,100,800,3.537255048751831,4.0,2.0,2.0,10,80,4.038658380508423
1,178.0214985488522,1424.1719883908177,1.0144402980804443,2,200,1600,5.397455930709839,10.0,5.0,5.0,10,80,6.510279417037964
2,216.39052305031774,1731.124184402542,1.4765677452087402,3,300,2400,7.3310041427612305,12.0,6.0,6.0,10,80,8.973936080932617
3,163.23272325924958,1305.8617860739967,2.0891900062561035,4,400,3200,9.372992992401123,12.0,6.0,6.0,10,80,11.683367729187012
4,180.31796256330446,1442.5437005064357,2.643765926361084,5,500,4000,10.89649510383606,0.0,0.0,0.0,10,80,13.830710172653198
5,201.65756853408362,1613.260548272669,3.1396560668945312,6,600,4800,12.19308590888977,10.0,5.0,5.0,10,80,15.675173044204712
6,198.17057498374683,1585.3645998699747,3.6442718505859375,7,700,5600,13.259283065795898,4.0,2.0,2.0,10,80,17.310381650924683
7,176.3923853133072,1411.1390825064575,4.2111897468566895,8,800,6400,14.347285032272339,8.0,4.0,4.0,10,80,19.026294946670532
8,164.53503196706714,1316.2802557365371,4.818963050842285,9,900,7200,15.417145252227783,10.0,5.0,5.0,10,80,20.764237642288208
9,169.6852594895894,1357.4820759167153,5.408289432525635,10,1000,8000,16.559525966644287,8.0,4.0,4.0,10,80,22.565008878707886
10,162.38601088224885,1299.0880870579908,6.024106025695801,11,1100,8800,17.808647871017456,8.0,4.0,4.0,10,80,24.499497413635254
11,166.69842212341862,1333.587376987349,6.6239917278289795,12,1200,9600,18.960260152816772,4.0,2.0,2.0,10,80,26.312492847442627
12,158.82419541912122,1270.5935633529698,7.2536187171936035,13,1300,10400,20.202958583831787,4.0,2.0,2.0,10,80,28.251507997512817
13,164.2322970689753,1313.8583765518024,7.8625123500823975,14,1400,11200,21.299688816070557,4.0,2.0,2.0,10,80,30.014008283615112
14,161.7271859349961,1293.8174874799688,8.48083758354187,15,1500,12000,22.488197565078735,4.0,2.0,2.0,10,80,31.896228313446045
15,167.15715539387486,1337.2572431509989,9.079077005386353,16,1600,12800,23.67617130279541,14.0,7.0,7.0,10,80,33.748324155807495
16,169.79482385974686,1358.3585908779748,9.668023109436035,17,1700,13600,24.794087886810303,10.0,5.0,5.0,10,80,35.530019760131836
17,158.61685838099245,1268.9348670479396,10.298473119735718,18,1800,14400,25.872358083724976,14.0,7.0,7.0,10,80,37.297568798065186
18,166.4355493899591,1331.4843951196729,10.899306297302246,19,1900,15200,27.016977787017822,8.0,4.0,4.0,10,80,39.098865032196045
19,171.61334722834255,1372.9067778267404,11.482011556625366,20,2000,16000,28.27383041381836,10.0,5.0,5.0,10,80,41.03513956069946
20,162.77544224927402,1302.2035379941922,12.710698127746582,21,2200,17600,28.98835015296936,8.0,4.0,4.0,10,80,43.05007481575012
21,181.26192632370714,1450.0954105896571,13.81407380104065,22,2400,19200,29.736525535583496,6.0,3.0,3.0,10,80,44.96890330314636
22,191.65392569630583,1533.2314055704467,14.857621431350708,23,2600,20800,30.561912536621094,12.0,6.0,6.0,10,80,46.890721797943115
