,sampling/learner/mean_reward,sampling/learner/learner/mean_reward,sampling/learner/partner/mean_reward,sampling/learner/episodes,sampling/learner/samples,sampling/partner/mean_reward,sampling/partner/response/mean_reward,sampling/partner/partner/mean_reward,sampling/partner/episodes,sampling/partner/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/learner/mean_reward,eval/learner/learner/mean_reward,eval/learner/partner/mean_reward,eval/learner/episodes,eval/learner/samples,eval/partner/mean_reward,eval/partner/response/mean_reward,eval/partner/partner/mean_reward,eval/partner/episodes,eval/partner/samples,total_time_s
0,6.02,3.01,3.01,100,1000,0.04,0.02,0.02,100,1000,217.032729775286,2170.32729775286,0.9215199947357178,1,200,2000,3.7812652587890625,0.0,0.0,0.0,10,100,0.0,0.0,0.0,10,100,4.787324905395508
1,0.02,0.01,0.01,100,1000,0.06,0.03,0.03,100,1000,205.01257040686474,2050.1257040686473,1.8970699310302734,2,400,4000,6.676317930221558,0.0,0.0,0.0,10,100,0.0,0.0,0.0,10,100,8.844364166259766
2,0.06,0.03,0.03,100,1000,0.02,0.01,0.01,100,1000,175.93892836461436,1759.3892836461434,3.033828020095825,3,600,6000,9.536757469177246,0.0,0.0,0.0,10,100,0.0,0.0,0.0,10,100,12.94463586807251
3,0.04,0.02,0.02,100,1000,0.08,0.04,0.04,100,1000,234.11201286015697,2341.1201286015694,3.88811993598938,4,800,8000,11.174690246582031,0.0,0.0,0.0,10,100,18.0,9.0,9.0,10,100,15.522737979888916
4,0.02,0.01,0.01,100,1000,17.52,8.76,8.76,100,1000,206.6644707489221,2066.644707489221,4.85587215423584,5,1000,10000,11.460878133773804,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,16.87006402015686
5,0.06,0.03,0.03,100,1000,19.72,9.86,9.86,100,1000,219.30731831530437,2193.073183153044,5.767834424972534,6,1200,12000,11.742130994796753,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,18.16448211669922
6,0.0,0.0,0.0,100,1000,19.3,9.65,9.65,100,1000,214.54487327859272,2145.4487327859274,6.700040340423584,7,1400,14000,12.29599118232727,2.0,1.0,1.0,10,100,20.0,10.0,10.0,10,100,19.742927312850952
7,2.0,1.0,1.0,100,1000,19.64,9.82,9.82,100,1000,223.2337919743848,2232.337919743848,7.595962047576904,8,1600,16000,12.736135721206665,2.0,1.0,1.0,10,100,20.0,10.0,10.0,10,100,21.1872980594635
8,2.04,1.02,1.02,100,1000,19.52,9.76,9.76,100,1000,228.52715551987384,2285.2715551987385,8.471131563186646,9,1800,18000,13.101858854293823,2.0,1.0,1.0,10,100,20.0,10.0,10.0,10,100,22.50574564933777
9,2.12,1.06,1.06,100,1000,19.54,9.77,9.77,100,1000,222.35679529362992,2223.567952936299,9.37058687210083,10,2000,20000,13.374730348587036,2.0,1.0,1.0,10,100,20.0,10.0,10.0,10,100,23.776231050491333
10,1.94,0.97,0.97,100,1000,19.48,9.74,9.74,100,1000,217.19889658115187,2171.988965811519,10.291401863098145,11,2200,22000,13.652055501937866,2.0,1.0,1.0,10,100,20.0,10.0,10.0,10,100,25.04308843612671
11,2.1,1.05,1.05,100,1000,19.6,9.8,9.8,100,1000,242.2980483249632,2422.980483249632,11.116831541061401,12,2400,24000,13.952892065048218,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,26.267998695373535
12,0.06,0.03,0.03,100,1000,19.44,9.72,9.72,100,1000,215.1657795269774,2151.657795269774,12.046347379684448,13,2600,26000,14.251408100128174,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,27.59513020515442
13,0.06,0.03,0.03,100,1000,19.68,9.84,9.84,100,1000,217.56720025728544,2175.672002572854,12.965603590011597,14,2800,28000,14.53767466545105,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,28.868375778198242
14,0.02,0.01,0.01,100,1000,19.64,9.82,9.82,100,1000,252.01617857843496,2520.1617857843494,13.759203433990479,15,3000,30000,14.89418077468872,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,30.086238384246826
15,0.04,0.02,0.02,100,1000,19.64,9.82,9.82,100,1000,246.93125959077966,2469.3125959077965,14.569145441055298,16,3200,32000,15.40886664390564,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,31.51740550994873
16,0.06,0.03,0.03,100,1000,19.58,9.79,9.79,100,1000,249.76903695825516,2497.6903695825513,15.369885206222534,17,3400,34000,15.78354001045227,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,32.796218395233154
17,0.08,0.04,0.04,100,1000,19.66,9.83,9.83,100,1000,233.87658021834147,2338.765802183415,16.225037097930908,18,3600,36000,16.17501473426819,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,34.12806010246277
18,0.1,0.05,0.05,100,1000,19.5,9.75,9.75,100,1000,221.9409856502852,2219.409856502852,17.126177549362183,19,3800,38000,16.707733631134033,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,35.63957166671753
19,0.12,0.06,0.06,100,1000,19.54,9.77,9.77,100,1000,219.49812152741617,2194.981215274162,18.037347078323364,20,4000,40000,17.170965909957886,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,37.10807728767395
20,0.04,0.02,0.02,100,1000,19.74,9.87,9.87,100,1000,222.8622923503307,2228.622923503307,18.934762239456177,21,4200,42000,17.494144678115845,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,38.40262842178345
21,0.04,0.02,0.02,100,1000,19.7,9.85,9.85,100,1000,217.00488225596285,2170.0488225596287,19.85640048980713,22,4400,44000,17.76542043685913,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,39.67655897140503
22,0.04,0.02,0.02,100,1000,19.44,9.72,9.72,100,1000,221.2218323899298,2212.218323899298,20.760470390319824,23,4600,46000,18.094544172286987,2.0,1.0,1.0,10,100,20.0,10.0,10.0,10,100,41.01287245750427
23,1.68,0.84,0.84,100,1000,19.58,9.79,9.79,100,1000,210.64567460615405,2106.4567460615403,21.70993208885193,24,4800,48000,18.531859397888184,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,42.46850085258484
24,0.12,0.06,0.06,100,1000,19.8,9.9,9.9,100,1000,265.5884329866813,2655.8843298668135,22.462976932525635,25,5000,50000,18.81800937652588,6.0,3.0,3.0,10,100,20.0,10.0,10.0,10,100,43.612005949020386
25,5.54,2.77,2.77,100,1000,19.66,9.83,9.83,100,1000,208.0973987973993,2080.973987973993,23.424065351486206,26,5200,52000,19.063483953475952,8.0,4.0,4.0,10,100,20.0,10.0,10.0,10,100,44.92305326461792
26,7.56,3.78,3.78,100,1000,19.78,9.89,9.89,100,1000,222.35261062486416,2223.5261062486416,24.323537588119507,27,5400,54000,19.33655095100403,8.0,4.0,4.0,10,100,20.0,10.0,10.0,10,100,46.16692638397217
27,7.84,3.92,3.92,100,1000,19.64,9.82,9.82,100,1000,227.16579219952746,2271.6579219952746,25.203951835632324,28,5600,56000,19.611777544021606,10.0,5.0,5.0,10,100,20.0,10.0,10.0,10,100,47.40065050125122
28,9.7,4.85,4.85,100,1000,19.48,9.74,9.74,100,1000,212.02687602255492,2120.268760225549,26.147228479385376,29,5800,58000,19.8966383934021,12.0,6.0,6.0,10,100,20.0,10.0,10.0,10,100,48.70856237411499
29,11.76,5.88,5.88,100,1000,19.54,9.77,9.77,100,1000,249.5003365393052,2495.003365393052,26.948830604553223,30,6000,60000,20.136343002319336,12.0,6.0,6.0,10,100,20.0,10.0,10.0,10,100,49.826027393341064
30,11.7,5.85,5.85,100,1000,19.4,9.7,9.7,100,1000,253.9176244137964,2539.176244137964,27.73648762702942,31,6200,62000,20.3927960395813,12.0,6.0,6.0,10,100,20.0,10.0,10.0,10,100,50.97062587738037
31,11.72,5.86,5.86,100,1000,19.64,9.82,9.82,100,1000,250.1955965426119,2501.955965426119,28.53586220741272,32,6400,64000,20.63951563835144,14.0,7.0,7.0,10,100,20.0,10.0,10.0,10,100,52.115408182144165
32,13.72,6.86,6.86,100,1000,19.64,9.82,9.82,100,1000,223.83170612610834,2238.3170612610834,29.42939066886902,33,6600,66000,20.886894941329956,14.0,7.0,7.0,10,100,20.0,10.0,10.0,10,100,53.32883954048157
33,13.72,6.86,6.86,100,1000,19.62,9.81,9.81,100,1000,259.06605242279306,2590.6605242279306,30.20139455795288,34,6800,68000,21.166388988494873,14.0,7.0,7.0,10,100,20.0,10.0,10.0,10,100,54.46199011802673
34,13.72,6.86,6.86,100,1000,19.6,9.8,9.8,100,1000,267.7219876118938,2677.219876118938,30.94843816757202,35,7000,70000,21.61337375640869,14.0,7.0,7.0,10,100,20.0,10.0,10.0,10,100,55.7349157333374
35,13.7,6.85,6.85,100,1000,19.56,9.78,9.78,100,1000,221.50052294944012,2215.005229494401,31.851370573043823,36,7200,72000,21.883976936340332,16.0,8.0,8.0,10,100,20.0,10.0,10.0,10,100,56.991148471832275
