,sampling/learner/mean_reward,sampling/learner/learner/mean_reward,sampling/learner/partner/mean_reward,sampling/learner/episodes,sampling/learner/samples,sampling/partner/mean_reward,sampling/partner/response/mean_reward,sampling/partner/partner/mean_reward,sampling/partner/episodes,sampling/partner/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/learner/mean_reward,eval/learner/learner/mean_reward,eval/learner/partner/mean_reward,eval/learner/episodes,eval/learner/samples,eval/partner/mean_reward,eval/partner/response/mean_reward,eval/partner/partner/mean_reward,eval/partner/episodes,eval/partner/samples,total_time_s
21,1.96,0.98,0.98,100,1000,19.02,9.51,9.51,100,1000,219.25091563555026,2192.5091563555025,20.378455638885498,22,4400,44000,10.538770914077759,0.0,0.0,0.0,10,100,20.0,10.0,10.0,10,100,33.05538368225098
22,0.02,0.01,0.01,100,1000,19.48,9.74,9.74,100,1000,228.675297797456,2286.75297797456,21.253058195114136,23,4600,46000,10.909852981567383,2.0,1.0,1.0,10,100,20.0,10.0,10.0,10,100,34.408607006073
23,1.94,0.97,0.97,100,1000,18.98,9.49,9.49,100,1000,220.18985142199577,2201.8985142199576,22.161365270614624,24,4800,48000,11.194356441497803,4.0,2.0,2.0,10,100,20.0,10.0,10.0,10,100,35.681403398513794
24,3.44,1.72,1.72,100,1000,19.52,9.76,9.76,100,1000,249.43215776481216,2494.3215776481215,22.963186502456665,25,5000,50000,11.494025945663452,10.0,5.0,5.0,10,100,20.0,10.0,10.0,10,100,36.882752895355225
25,9.78,4.89,4.89,100,1000,19.6,9.8,9.8,100,1000,259.0685326814059,2590.6853268140585,23.735183000564575,26,5200,52000,11.846095561981201,18.0,9.0,9.0,10,100,20.0,10.0,10.0,10,100,38.08439588546753
26,17.72,8.86,8.86,100,1000,19.4,9.7,9.7,100,1000,255.1875863948757,2551.875863948757,24.518920183181763,27,5400,54000,12.3018639087677,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,39.411187171936035
27,19.48,9.74,9.74,100,1000,19.48,9.74,9.74,100,1000,246.5780660780145,2465.780660780145,25.33002233505249,28,5600,56000,12.589266061782837,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,40.588982343673706
28,19.76,9.88,9.88,100,1000,19.56,9.78,9.78,100,1000,247.76613139514004,2477.6613139514,26.137235164642334,29,5800,58000,12.87198543548584,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,41.78913474082947
29,19.58,9.79,9.79,100,1000,19.5,9.75,9.75,100,1000,223.31782361300347,2233.1782361300347,27.032819747924805,30,6000,60000,13.169318675994873,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,43.065069913864136
30,19.7,9.85,9.85,100,1000,19.56,9.78,9.78,100,1000,237.37220733644278,2373.722073364428,27.875378370285034,31,6200,62000,13.46049427986145,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,44.30698490142822
31,19.64,9.82,9.82,100,1000,19.66,9.83,9.83,100,1000,239.27588066852053,2392.7588066852054,28.711233615875244,32,6400,64000,13.832348108291626,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,45.60592198371887
32,19.7,9.85,9.85,100,1000,19.62,9.81,9.81,100,1000,249.62239463606664,2496.223946360666,29.512443780899048,33,6600,66000,14.132801055908203,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,46.796411752700806
33,19.62,9.81,9.81,100,1000,19.7,9.85,9.85,100,1000,252.44688406582162,2524.4688406582163,30.304689645767212,34,6800,68000,14.41274619102478,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,47.9718873500824
34,19.6,9.8,9.8,100,1000,19.64,9.82,9.82,100,1000,232.67718020578843,2326.7718020578845,31.164249658584595,35,7000,70000,14.723573923110962,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,49.22989320755005
